"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|FI","Actual Total Load [MW] - BZN|FI"
"15.04.2024 01:30 - 15.04.2024 01:45","8523","8353"
"15.04.2024 01:45 - 15.04.2024 02:00","8566","8438"
"15.04.2024 02:00 - 15.04.2024 02:15","8609","8385"
"15.04.2024 02:15 - 15.04.2024 02:30","8673","8494"
"15.04.2024 02:30 - 15.04.2024 02:45","8751","8508"
"15.04.2024 02:45 - 15.04.2024 03:00","8851","8581"
"15.04.2024 03:00 - 15.04.2024 03:15","8994","8752"
"15.04.2024 03:15 - 15.04.2024 03:30","9107","8932"
"15.04.2024 03:30 - 15.04.2024 03:45","9207","9073"
"15.04.2024 03:45 - 15.04.2024 04:00","9320","9268"
"15.04.2024 04:00 - 15.04.2024 04:15","9457","9304"
"15.04.2024 04:15 - 15.04.2024 04:30","9555","9362"
"15.04.2024 04:30 - 15.04.2024 04:45","9627","9577"
"15.04.2024 04:45 - 15.04.2024 05:00","9683","9650"
"15.04.2024 05:00 - 15.04.2024 05:15","9715","9589"
"15.04.2024 05:15 - 15.04.2024 05:30","9746","9644"
"15.04.2024 05:30 - 15.04.2024 05:45","9773","9688"
"15.04.2024 05:45 - 15.04.2024 06:00","9784","9702"
"15.04.2024 06:00 - 15.04.2024 06:15","9777","9660"
"15.04.2024 06:15 - 15.04.2024 06:30","9775","9613"
"15.04.2024 06:30 - 15.04.2024 06:45","9775","9650"
"15.04.2024 06:45 - 15.04.2024 07:00","9765","9622"
"15.04.2024 07:00 - 15.04.2024 07:15","9745","9557"
"15.04.2024 07:15 - 15.04.2024 07:30","9733","9473"
"15.04.2024 07:30 - 15.04.2024 07:45","9724","9468"
"15.04.2024 07:45 - 15.04.2024 08:00","9716","9606"
"15.04.2024 08:00 - 15.04.2024 08:15","9710","9546"
"15.04.2024 08:15 - 15.04.2024 08:30","9702","9479"
"15.04.2024 08:30 - 15.04.2024 08:45","9691","9427"
"15.04.2024 08:45 - 15.04.2024 09:00","9681","9433"
"15.04.2024 09:00 - 15.04.2024 09:15","9671","9452"
"15.04.2024 09:15 - 15.04.2024 09:30","9658","9398"
"15.04.2024 09:30 - 15.04.2024 09:45","9642","9393"
"15.04.2024 09:45 - 15.04.2024 10:00","9628","9280"
"15.04.2024 10:00 - 15.04.2024 10:15","9616","9265"
"15.04.2024 10:15 - 15.04.2024 10:30","9595","9226"
"15.04.2024 10:30 - 15.04.2024 10:45","9569","9110"
"15.04.2024 10:45 - 15.04.2024 11:00","9530","9079"
"15.04.2024 11:00 - 15.04.2024 11:15","9469","9174"
"15.04.2024 11:15 - 15.04.2024 11:30","9433","9202"
"15.04.2024 11:30 - 15.04.2024 11:45","9410","9156"
"15.04.2024 11:45 - 15.04.2024 12:00","9395","9208"
"15.04.2024 12:00 - 15.04.2024 12:15","9392","9174"
"15.04.2024 12:15 - 15.04.2024 12:30","9386","9289"
"15.04.2024 12:30 - 15.04.2024 12:45","9378","9202"
"15.04.2024 12:45 - 15.04.2024 13:00","9378","9158"
"15.04.2024 13:00 - 15.04.2024 13:15","9386","9121"
"15.04.2024 13:15 - 15.04.2024 13:30","9386","9292"
"15.04.2024 13:30 - 15.04.2024 13:45","9383","9272"
"15.04.2024 13:45 - 15.04.2024 14:00","9377","9269"
"15.04.2024 14:00 - 15.04.2024 14:15","9368","9270"
"15.04.2024 14:15 - 15.04.2024 14:30","9361","9233"
"15.04.2024 14:30 - 15.04.2024 14:45","9355","9201"
"15.04.2024 14:45 - 15.04.2024 15:00","9348","9195"
"15.04.2024 15:00 - 15.04.2024 15:15","9332","9159"
"15.04.2024 15:15 - 15.04.2024 15:30","9327","9149"
"15.04.2024 15:30 - 15.04.2024 15:45","9326","9250"
"15.04.2024 15:45 - 15.04.2024 16:00","9329","9225"
"15.04.2024 16:00 - 15.04.2024 16:15","9340","9270"
"15.04.2024 16:15 - 15.04.2024 16:30","9346","9259"
"15.04.2024 16:30 - 15.04.2024 16:45","9350","9203"
"15.04.2024 16:45 - 15.04.2024 17:00","9357","9251"
"15.04.2024 17:00 - 15.04.2024 17:15","9371","9210"
"15.04.2024 17:15 - 15.04.2024 17:30","9374","9294"
"15.04.2024 17:30 - 15.04.2024 17:45","9372","9222"
"15.04.2024 17:45 - 15.04.2024 18:00","9359","9259"
"15.04.2024 18:00 - 15.04.2024 18:15","9324","9244"
"15.04.2024 18:15 - 15.04.2024 18:30","9313","9342"
"15.04.2024 18:30 - 15.04.2024 18:45","9313","9221"
"15.04.2024 18:45 - 15.04.2024 19:00","9331","9085"
"15.04.2024 19:00 - 15.04.2024 19:15","9382","9203"
"15.04.2024 19:15 - 15.04.2024 19:30","9396","9310"
"15.04.2024 19:30 - 15.04.2024 19:45","9384","9336"
"15.04.2024 19:45 - 15.04.2024 20:00","9374","9198"
"15.04.2024 20:00 - 15.04.2024 20:15","9373","9250"
"15.04.2024 20:15 - 15.04.2024 20:30","9330","9067"
"15.04.2024 20:30 - 15.04.2024 20:45","9267","8927"
"15.04.2024 20:45 - 15.04.2024 21:00","9145","8763"
"15.04.2024 21:00 - 15.04.2024 21:15","8922","8727"
"15.04.2024 21:15 - 15.04.2024 21:30","8807","8699"
"15.04.2024 21:30 - 15.04.2024 21:45","8760","8657"
"15.04.2024 21:45 - 15.04.2024 22:00","8731","8605"
"15.04.2024 22:00 - 15.04.2024 22:15","8564","8618"
"15.04.2024 22:15 - 15.04.2024 22:30","8560","8663"
"15.04.2024 22:30 - 15.04.2024 22:45","8552","8618"
"15.04.2024 22:45 - 15.04.2024 23:00","8535","8477"
"15.04.2024 23:00 - 15.04.2024 23:15","8503","8500"
"15.04.2024 23:15 - 15.04.2024 23:30","8484","8506"
"15.04.2024 23:30 - 15.04.2024 23:45","8473","8465"
"15.04.2024 23:45 - 16.04.2024 00:00","8462","8479"
"16.04.2024 00:00 - 16.04.2024 00:15","8449","8472"
"16.04.2024 00:15 - 16.04.2024 00:30","8444","8446"
"16.04.2024 00:30 - 16.04.2024 00:45","8448","8471"
"16.04.2024 00:45 - 16.04.2024 01:00","8454","8460"
"16.04.2024 01:00 - 16.04.2024 01:15","8462","8480"
"16.04.2024 01:15 - 16.04.2024 01:30","8481","8434"
"16.04.2024 01:30 - 16.04.2024 01:45","8512","8519"
"16.04.2024 01:45 - 16.04.2024 02:00","8537","8559"
"16.04.2024 02:00 - 16.04.2024 02:15","8544","8628"
"16.04.2024 02:15 - 16.04.2024 02:30","8599","8620"
"16.04.2024 02:30 - 16.04.2024 02:45","8682","8691"
"16.04.2024 02:45 - 16.04.2024 03:00","8811","8721"
"16.04.2024 03:00 - 16.04.2024 03:15","9020","8958"
"16.04.2024 03:15 - 16.04.2024 03:30","9161","9079"
"16.04.2024 03:30 - 16.04.2024 03:45","9265","9151"
"16.04.2024 03:45 - 16.04.2024 04:00","9368","9302"
"16.04.2024 04:00 - 16.04.2024 04:15","9462","9310"
"16.04.2024 04:15 - 16.04.2024 04:30","9542","9437"
"16.04.2024 04:30 - 16.04.2024 04:45","9607","9512"
"16.04.2024 04:45 - 16.04.2024 05:00","9659","9500"
"16.04.2024 05:00 - 16.04.2024 05:15","9693","9520"
"16.04.2024 05:15 - 16.04.2024 05:30","9721","9526"
"16.04.2024 05:30 - 16.04.2024 05:45","9744","9596"
"16.04.2024 05:45 - 16.04.2024 06:00","9751","9576"
"16.04.2024 06:00 - 16.04.2024 06:15","9739","9671"
"16.04.2024 06:15 - 16.04.2024 06:30","9733","9646"
"16.04.2024 06:30 - 16.04.2024 06:45","9730","9621"
"16.04.2024 06:45 - 16.04.2024 07:00","9718","9606"
"16.04.2024 07:00 - 16.04.2024 07:15","9693","9614"
"16.04.2024 07:15 - 16.04.2024 07:30","9680","9607"
"16.04.2024 07:30 - 16.04.2024 07:45","9674","9612"
"16.04.2024 07:45 - 16.04.2024 08:00","9674","9561"
"16.04.2024 08:00 - 16.04.2024 08:15","9686","9602"
"16.04.2024 08:15 - 16.04.2024 08:30","9686","9566"
"16.04.2024 08:30 - 16.04.2024 08:45","9679","9675"
"16.04.2024 08:45 - 16.04.2024 09:00","9673","9649"
"16.04.2024 09:00 - 16.04.2024 09:15","9666","9567"
"16.04.2024 09:15 - 16.04.2024 09:30","9652","9583"
"16.04.2024 09:30 - 16.04.2024 09:45","9635","9616"
"16.04.2024 09:45 - 16.04.2024 10:00","9611","9692"
"16.04.2024 10:00 - 16.04.2024 10:15","9575","9701"
"16.04.2024 10:15 - 16.04.2024 10:30","9548","9648"
"16.04.2024 10:30 - 16.04.2024 10:45","9527","9498"
"16.04.2024 10:45 - 16.04.2024 11:00","9504","9518"
"16.04.2024 11:00 - 16.04.2024 11:15","9480","9517"
"16.04.2024 11:15 - 16.04.2024 11:30","9462","9485"
"16.04.2024 11:30 - 16.04.2024 11:45","9448","9447"
"16.04.2024 11:45 - 16.04.2024 12:00","9437","9563"
"16.04.2024 12:00 - 16.04.2024 12:15","9427","9490"
"16.04.2024 12:15 - 16.04.2024 12:30","9422","9488"
"16.04.2024 12:30 - 16.04.2024 12:45","9420","9422"
"16.04.2024 12:45 - 16.04.2024 13:00","9426","9485"
"16.04.2024 13:00 - 16.04.2024 13:15","9444","9429"
"16.04.2024 13:15 - 16.04.2024 13:30","9452","9509"
"16.04.2024 13:30 - 16.04.2024 13:45","9456","9470"
"16.04.2024 13:45 - 16.04.2024 14:00","9459","9602"
"16.04.2024 14:00 - 16.04.2024 14:15","9459","9573"
"16.04.2024 14:15 - 16.04.2024 14:30","9460","9556"
"16.04.2024 14:30 - 16.04.2024 14:45","9463","9505"
"16.04.2024 14:45 - 16.04.2024 15:00","9464","9477"
"16.04.2024 15:00 - 16.04.2024 15:15","9461","9527"
"16.04.2024 15:15 - 16.04.2024 15:30","9464","9565"
"16.04.2024 15:30 - 16.04.2024 15:45","9469","9496"
"16.04.2024 15:45 - 16.04.2024 16:00","9478","9552"
"16.04.2024 16:00 - 16.04.2024 16:15","9491","9555"
"16.04.2024 16:15 - 16.04.2024 16:30","9500","9513"
"16.04.2024 16:30 - 16.04.2024 16:45","9505","9417"
"16.04.2024 16:45 - 16.04.2024 17:00","9514","9359"
"16.04.2024 17:00 - 16.04.2024 17:15","9529","9266"
"16.04.2024 17:15 - 16.04.2024 17:30","9531","9328"
"16.04.2024 17:30 - 16.04.2024 17:45","9527","9316"
"16.04.2024 17:45 - 16.04.2024 18:00","9508","9274"
"16.04.2024 18:00 - 16.04.2024 18:15","9460","9372"
"16.04.2024 18:15 - 16.04.2024 18:30","9444","9269"
"16.04.2024 18:30 - 16.04.2024 18:45","9442","9190"
"16.04.2024 18:45 - 16.04.2024 19:00","9463","9061"
"16.04.2024 19:00 - 16.04.2024 19:15","9527","9228"
"16.04.2024 19:15 - 16.04.2024 19:30","9543","9331"
"16.04.2024 19:30 - 16.04.2024 19:45","9529","9303"
"16.04.2024 19:45 - 16.04.2024 20:00","9509","9195"
"16.04.2024 20:00 - 16.04.2024 20:15","9480","9252"
"16.04.2024 20:15 - 16.04.2024 20:30","9431","9193"
"16.04.2024 20:30 - 16.04.2024 20:45","9375","9079"
"16.04.2024 20:45 - 16.04.2024 21:00","9275","8869"
"16.04.2024 21:00 - 16.04.2024 21:15","9100","8905"
"16.04.2024 21:15 - 16.04.2024 21:30","9008","8926"
"16.04.2024 21:30 - 16.04.2024 21:45","8970","8838"
"16.04.2024 21:45 - 16.04.2024 22:00","8946","8727"
"16.04.2024 22:00 - 16.04.2024 22:15","8595","8661"
"16.04.2024 22:15 - 16.04.2024 22:30","8590","8683"
"16.04.2024 22:30 - 16.04.2024 22:45","8583","8620"
"16.04.2024 22:45 - 16.04.2024 23:00","8561","8564"
"16.04.2024 23:00 - 16.04.2024 23:15","8514","8503"
"16.04.2024 23:15 - 16.04.2024 23:30","8495","8503"
"16.04.2024 23:30 - 16.04.2024 23:45","8491","8453"
"16.04.2024 23:45 - 17.04.2024 00:00","8497","8467"
"17.04.2024 00:00 - 17.04.2024 00:15","8519","8411"
"17.04.2024 00:15 - 17.04.2024 00:30","8535","8432"
"17.04.2024 00:30 - 17.04.2024 00:45","8549","8349"
"17.04.2024 00:45 - 17.04.2024 01:00","8561","8411"
"17.04.2024 01:00 - 17.04.2024 01:15","8566","8417"
"17.04.2024 01:15 - 17.04.2024 01:30","8588","8454"
"17.04.2024 01:30 - 17.04.2024 01:45","8626","8516"
"17.04.2024 01:45 - 17.04.2024 02:00","8662","8491"
"17.04.2024 02:00 - 17.04.2024 02:15","8689","8601"
"17.04.2024 02:15 - 17.04.2024 02:30","8752","8641"
"17.04.2024 02:30 - 17.04.2024 02:45","8835","8690"
"17.04.2024 02:45 - 17.04.2024 03:00","8955","8694"
"17.04.2024 03:00 - 17.04.2024 03:15","9139","8919"
"17.04.2024 03:15 - 17.04.2024 03:30","9269","9117"
"17.04.2024 03:30 - 17.04.2024 03:45","9368","9282"
"17.04.2024 03:45 - 17.04.2024 04:00","9466","9370"
"17.04.2024 04:00 - 17.04.2024 04:15","9559","9393"
"17.04.2024 04:15 - 17.04.2024 04:30","9635","9346"
"17.04.2024 04:30 - 17.04.2024 04:45","9698","9410"
"17.04.2024 04:45 - 17.04.2024 05:00","9743","9506"
"17.04.2024 05:00 - 17.04.2024 05:15","9765","9518"
"17.04.2024 05:15 - 17.04.2024 05:30","9793","9558"
"17.04.2024 05:30 - 17.04.2024 05:45","9823","9697"
"17.04.2024 05:45 - 17.04.2024 06:00","9846","9730"
"17.04.2024 06:00 - 17.04.2024 06:15","9863","9743"
"17.04.2024 06:15 - 17.04.2024 06:30","9877","9760"
"17.04.2024 06:30 - 17.04.2024 06:45","9889","9806"
"17.04.2024 06:45 - 17.04.2024 07:00","9894","9847"
"17.04.2024 07:00 - 17.04.2024 07:15","9891","9798"
"17.04.2024 07:15 - 17.04.2024 07:30","9892","9818"
"17.04.2024 07:30 - 17.04.2024 07:45","9894","9823"
"17.04.2024 07:45 - 17.04.2024 08:00","9894","9808"
"17.04.2024 08:00 - 17.04.2024 08:15","9896","9847"
"17.04.2024 08:15 - 17.04.2024 08:30","9894","9807"
"17.04.2024 08:30 - 17.04.2024 08:45","9889","9847"
"17.04.2024 08:45 - 17.04.2024 09:00","9882","9880"
"17.04.2024 09:00 - 17.04.2024 09:15","9872","9865"
"17.04.2024 09:15 - 17.04.2024 09:30","9862","9919"
"17.04.2024 09:30 - 17.04.2024 09:45","9852","9846"
"17.04.2024 09:45 - 17.04.2024 10:00","9838","9860"
"17.04.2024 10:00 - 17.04.2024 10:15","9819","9790"
"17.04.2024 10:15 - 17.04.2024 10:30","9805","9822"
"17.04.2024 10:30 - 17.04.2024 10:45","9794","9698"
"17.04.2024 10:45 - 17.04.2024 11:00","9784","9677"
"17.04.2024 11:00 - 17.04.2024 11:15","9775","9649"
"17.04.2024 11:15 - 17.04.2024 11:30","9766","9646"
"17.04.2024 11:30 - 17.04.2024 11:45","9758","9662"
"17.04.2024 11:45 - 17.04.2024 12:00","9748","9675"
"17.04.2024 12:00 - 17.04.2024 12:15","9735","9749"
"17.04.2024 12:15 - 17.04.2024 12:30","9729","9725"
"17.04.2024 12:30 - 17.04.2024 12:45","9726","9648"
"17.04.2024 12:45 - 17.04.2024 13:00","9727","9756"
"17.04.2024 13:00 - 17.04.2024 13:15","9735","9765"
"17.04.2024 13:15 - 17.04.2024 13:30","9739","9842"
"17.04.2024 13:30 - 17.04.2024 13:45","9742","9838"
"17.04.2024 13:45 - 17.04.2024 14:00","9746","9828"
"17.04.2024 14:00 - 17.04.2024 14:15","9752","9888"
"17.04.2024 14:15 - 17.04.2024 14:30","9757","9903"
"17.04.2024 14:30 - 17.04.2024 14:45","9760","9935"
"17.04.2024 14:45 - 17.04.2024 15:00","9764","9918"
"17.04.2024 15:00 - 17.04.2024 15:15","9770","9940"
"17.04.2024 15:15 - 17.04.2024 15:30","9772","9900"
"17.04.2024 15:30 - 17.04.2024 15:45","9770","10013"
"17.04.2024 15:45 - 17.04.2024 16:00","9766","9988"
"17.04.2024 16:00 - 17.04.2024 16:15","9758","9968"
"17.04.2024 16:15 - 17.04.2024 16:30","9751","9937"
"17.04.2024 16:30 - 17.04.2024 16:45","9744","9955"
"17.04.2024 16:45 - 17.04.2024 17:00","9737","9915"
"17.04.2024 17:00 - 17.04.2024 17:15","9733","9841"
"17.04.2024 17:15 - 17.04.2024 17:30","9723","9840"
"17.04.2024 17:30 - 17.04.2024 17:45","9711","9804"
"17.04.2024 17:45 - 17.04.2024 18:00","9688","9814"
"17.04.2024 18:00 - 17.04.2024 18:15","9644","9860"
"17.04.2024 18:15 - 17.04.2024 18:30","9627","9887"
"17.04.2024 18:30 - 17.04.2024 18:45","9622","9805"
"17.04.2024 18:45 - 17.04.2024 19:00","9640","9668"
"17.04.2024 19:00 - 17.04.2024 19:15","9700","9698"
"17.04.2024 19:15 - 17.04.2024 19:30","9713","9826"
"17.04.2024 19:30 - 17.04.2024 19:45","9697","9788"
"17.04.2024 19:45 - 17.04.2024 20:00","9672","9817"
"17.04.2024 20:00 - 17.04.2024 20:15","9634","9827"
"17.04.2024 20:15 - 17.04.2024 20:30","9584","9744"
"17.04.2024 20:30 - 17.04.2024 20:45","9529","9545"
"17.04.2024 20:45 - 17.04.2024 21:00","9434","9511"
"17.04.2024 21:00 - 17.04.2024 21:15","9273","9469"
"17.04.2024 21:15 - 17.04.2024 21:30","9187","9434"
"17.04.2024 21:30 - 17.04.2024 21:45","9151","9286"
"17.04.2024 21:45 - 17.04.2024 22:00","9129","9275"
"17.04.2024 22:00 - 17.04.2024 22:15","9086","9225"
"17.04.2024 22:15 - 17.04.2024 22:30","9078","9139"
"17.04.2024 22:30 - 17.04.2024 22:45","9064","9062"
"17.04.2024 22:45 - 17.04.2024 23:00","9035","9057"
"17.04.2024 23:00 - 17.04.2024 23:15","8984","9012"
"17.04.2024 23:15 - 17.04.2024 23:30","8948","8977"
"17.04.2024 23:30 - 17.04.2024 23:45","8923","8906"
"17.04.2024 23:45 - 18.04.2024 00:00","8891","8865"
"18.04.2024 00:00 - 18.04.2024 00:15","8848","8916"
"18.04.2024 00:15 - 18.04.2024 00:30","8827","8860"
"18.04.2024 00:30 - 18.04.2024 00:45","8824","8846"
"18.04.2024 00:45 - 18.04.2024 01:00","8826","8797"
"18.04.2024 01:00 - 18.04.2024 01:15","8834","8858"
"18.04.2024 01:15 - 18.04.2024 01:30","8859","8883"
"18.04.2024 01:30 - 18.04.2024 01:45","8897","8882"
"18.04.2024 01:45 - 18.04.2024 02:00","8946","8869"
"18.04.2024 02:00 - 18.04.2024 02:15","9003","9054"
"18.04.2024 02:15 - 18.04.2024 02:30","9079","9047"
"18.04.2024 02:30 - 18.04.2024 02:45","9164","9108"
"18.04.2024 02:45 - 18.04.2024 03:00","9281","9108"
"18.04.2024 03:00 - 18.04.2024 03:15","9451","9263"
"18.04.2024 03:15 - 18.04.2024 03:30","9571","9483"
"18.04.2024 03:30 - 18.04.2024 03:45","9661","9597"
"18.04.2024 03:45 - 18.04.2024 04:00","9749","9782"
"18.04.2024 04:00 - 18.04.2024 04:15","9829","9787"
"18.04.2024 04:15 - 18.04.2024 04:30","9891","9844"
"18.04.2024 04:30 - 18.04.2024 04:45","9941","9963"
"18.04.2024 04:45 - 18.04.2024 05:00","9968","9999"
"18.04.2024 05:00 - 18.04.2024 05:15","9961","9936"
"18.04.2024 05:15 - 18.04.2024 05:30","9973","9945"
"18.04.2024 05:30 - 18.04.2024 05:45","9994","10041"
"18.04.2024 05:45 - 18.04.2024 06:00","10015","10112"
"18.04.2024 06:00 - 18.04.2024 06:15","10047","10053"
"18.04.2024 06:15 - 18.04.2024 06:30","10061","9965"
"18.04.2024 06:30 - 18.04.2024 06:45","10065","9960"
"18.04.2024 06:45 - 18.04.2024 07:00","10058","9995"
"18.04.2024 07:00 - 18.04.2024 07:15","10031","9974"
"18.04.2024 07:15 - 18.04.2024 07:30","10017","9907"
"18.04.2024 07:30 - 18.04.2024 07:45","10012","9927"
"18.04.2024 07:45 - 18.04.2024 08:00","10006","9979"
"18.04.2024 08:00 - 18.04.2024 08:15","10004","9990"
"18.04.2024 08:15 - 18.04.2024 08:30","10000","9901"
"18.04.2024 08:30 - 18.04.2024 08:45","9995","9854"
"18.04.2024 08:45 - 18.04.2024 09:00","9994","9863"
"18.04.2024 09:00 - 18.04.2024 09:15","10002","9811"
"18.04.2024 09:15 - 18.04.2024 09:30","9997","9852"
"18.04.2024 09:30 - 18.04.2024 09:45","9983","9917"
"18.04.2024 09:45 - 18.04.2024 10:00","9961","9880"
"18.04.2024 10:00 - 18.04.2024 10:15","9922","9759"
"18.04.2024 10:15 - 18.04.2024 10:30","9897","9741"
"18.04.2024 10:30 - 18.04.2024 10:45","9878","9776"
"18.04.2024 10:45 - 18.04.2024 11:00","9862","9655"
"18.04.2024 11:00 - 18.04.2024 11:15","9850","9588"
"18.04.2024 11:15 - 18.04.2024 11:30","9835","9566"
"18.04.2024 11:30 - 18.04.2024 11:45","9821","9631"
"18.04.2024 11:45 - 18.04.2024 12:00","9804","9677"
"18.04.2024 12:00 - 18.04.2024 12:15","9779","9600"
"18.04.2024 12:15 - 18.04.2024 12:30","9767","9588"
"18.04.2024 12:30 - 18.04.2024 12:45","9765","9492"
"18.04.2024 12:45 - 18.04.2024 13:00","9770","9490"
"18.04.2024 13:00 - 18.04.2024 13:15","9789","9454"
"18.04.2024 13:15 - 18.04.2024 13:30","9801","9486"
"18.04.2024 13:30 - 18.04.2024 13:45","9809","9483"
"18.04.2024 13:45 - 18.04.2024 14:00","9822","9454"
"18.04.2024 14:00 - 18.04.2024 14:15","9843","9393"
"18.04.2024 14:15 - 18.04.2024 14:30","9854","9449"
"18.04.2024 14:30 - 18.04.2024 14:45","9859","9406"
"18.04.2024 14:45 - 18.04.2024 15:00","9861","9356"
"18.04.2024 15:00 - 18.04.2024 15:15","9857","9384"
"18.04.2024 15:15 - 18.04.2024 15:30","9856","9351"
"18.04.2024 15:30 - 18.04.2024 15:45","9856","9316"
"18.04.2024 15:45 - 18.04.2024 16:00","9854","9355"
"18.04.2024 16:00 - 18.04.2024 16:15","9852","9430"
"18.04.2024 16:15 - 18.04.2024 16:30","9851","9496"
"18.04.2024 16:30 - 18.04.2024 16:45","9850","9453"
"18.04.2024 16:45 - 18.04.2024 17:00","9853","9396"
"18.04.2024 17:00 - 18.04.2024 17:15","9864","9477"
"18.04.2024 17:15 - 18.04.2024 17:30","9862","9488"
"18.04.2024 17:30 - 18.04.2024 17:45","9855","9396"
"18.04.2024 17:45 - 18.04.2024 18:00","9835","9364"
"18.04.2024 18:00 - 18.04.2024 18:15","9791","9412"
"18.04.2024 18:15 - 18.04.2024 18:30","9774","9402"
"18.04.2024 18:30 - 18.04.2024 18:45","9769","9350"
"18.04.2024 18:45 - 18.04.2024 19:00","9788","9328"
"18.04.2024 19:00 - 18.04.2024 19:15","9852","9459"
"18.04.2024 19:15 - 18.04.2024 19:30","9862","9525"
"18.04.2024 19:30 - 18.04.2024 19:45","9841","9555"
"18.04.2024 19:45 - 18.04.2024 20:00","9798","9548"
"18.04.2024 20:00 - 18.04.2024 20:15","9716","9625"
"18.04.2024 20:15 - 18.04.2024 20:30","9655","9482"
"18.04.2024 20:30 - 18.04.2024 20:45","9609","9437"
"18.04.2024 20:45 - 18.04.2024 21:00","9545","9297"
"18.04.2024 21:00 - 18.04.2024 21:15","9457","9231"
"18.04.2024 21:15 - 18.04.2024 21:30","9406","9272"
"18.04.2024 21:30 - 18.04.2024 21:45","9381","9192"
"18.04.2024 21:45 - 18.04.2024 22:00","9367","9247"
"18.04.2024 22:00 - 18.04.2024 22:15","8956","9205"
"18.04.2024 22:15 - 18.04.2024 22:30","8953","9189"
"18.04.2024 22:30 - 18.04.2024 22:45","8948","9120"
"18.04.2024 22:45 - 18.04.2024 23:00","8933","9172"
"18.04.2024 23:00 - 18.04.2024 23:15","8902","9143"
"18.04.2024 23:15 - 18.04.2024 23:30","8889","9098"
"18.04.2024 23:30 - 18.04.2024 23:45","8887","9042"
"18.04.2024 23:45 - 19.04.2024 00:00","8889","9018"
"19.04.2024 00:00 - 19.04.2024 00:15","8896","9112"
"19.04.2024 00:15 - 19.04.2024 00:30","8908","9095"
"19.04.2024 00:30 - 19.04.2024 00:45","8924","9105"
"19.04.2024 00:45 - 19.04.2024 01:00","8942","9105"
"19.04.2024 01:00 - 19.04.2024 01:15","8960","9199"
"19.04.2024 01:15 - 19.04.2024 01:30","8990","9284"
"19.04.2024 01:30 - 19.04.2024 01:45","9031","9281"
"19.04.2024 01:45 - 19.04.2024 02:00","9073","9359"
"19.04.2024 02:00 - 19.04.2024 02:15","9109","9465"
"19.04.2024 02:15 - 19.04.2024 02:30","9174","9455"
"19.04.2024 02:30 - 19.04.2024 02:45","9256","9455"
"19.04.2024 02:45 - 19.04.2024 03:00","9371","9429"
"19.04.2024 03:00 - 19.04.2024 03:15","9544","9740"
"19.04.2024 03:15 - 19.04.2024 03:30","9667","9879"
"19.04.2024 03:30 - 19.04.2024 03:45","9761","9958"
"19.04.2024 03:45 - 19.04.2024 04:00","9857","10196"
"19.04.2024 04:00 - 19.04.2024 04:15","9951","10159"
"19.04.2024 04:15 - 19.04.2024 04:30","10024","10283"
"19.04.2024 04:30 - 19.04.2024 04:45","10081","10434"
"19.04.2024 04:45 - 19.04.2024 05:00","10122","10384"
"19.04.2024 05:00 - 19.04.2024 05:15","10140","10236"
"19.04.2024 05:15 - 19.04.2024 05:30","10159","10244"
"19.04.2024 05:30 - 19.04.2024 05:45","10177","10391"
"19.04.2024 05:45 - 19.04.2024 06:00","10180","10394"
"19.04.2024 06:00 - 19.04.2024 06:15","10165","10252"
"19.04.2024 06:15 - 19.04.2024 06:30","10160","10287"
"19.04.2024 06:30 - 19.04.2024 06:45","10160","10395"
"19.04.2024 06:45 - 19.04.2024 07:00","10159","10342"
"19.04.2024 07:00 - 19.04.2024 07:15","10159","10306"
"19.04.2024 07:15 - 19.04.2024 07:30","10157","10306"
"19.04.2024 07:30 - 19.04.2024 07:45","10153","10398"
"19.04.2024 07:45 - 19.04.2024 08:00","10148","10464"
"19.04.2024 08:00 - 19.04.2024 08:15","10141","10466"
"19.04.2024 08:15 - 19.04.2024 08:30","10134","10418"
"19.04.2024 08:30 - 19.04.2024 08:45","10127","10400"
"19.04.2024 08:45 - 19.04.2024 09:00","10121","10383"
"19.04.2024 09:00 - 19.04.2024 09:15","10118","10430"
"19.04.2024 09:15 - 19.04.2024 09:30","10109","10436"
"19.04.2024 09:30 - 19.04.2024 09:45","10095","10447"
"19.04.2024 09:45 - 19.04.2024 10:00","10079","10371"
"19.04.2024 10:00 - 19.04.2024 10:15","10058","10370"
"19.04.2024 10:15 - 19.04.2024 10:30","10038","10353"
"19.04.2024 10:30 - 19.04.2024 10:45","10018","10237"
"19.04.2024 10:45 - 19.04.2024 11:00","9991","10255"
"19.04.2024 11:00 - 19.04.2024 11:15","9949","10246"
"19.04.2024 11:15 - 19.04.2024 11:30","9927","10210"
"19.04.2024 11:30 - 19.04.2024 11:45","9915","10209"
"19.04.2024 11:45 - 19.04.2024 12:00","9913","10209"
"19.04.2024 12:00 - 19.04.2024 12:15","9927","10228"
"19.04.2024 12:15 - 19.04.2024 12:30","9932","10193"
"19.04.2024 12:30 - 19.04.2024 12:45","9932","10252"
"19.04.2024 12:45 - 19.04.2024 13:00","9937","10242"
"19.04.2024 13:00 - 19.04.2024 13:15","9947","10246"
"19.04.2024 13:15 - 19.04.2024 13:30","9949","10300"
"19.04.2024 13:30 - 19.04.2024 13:45","9946","10308"
"19.04.2024 13:45 - 19.04.2024 14:00","9939","10262"
"19.04.2024 14:00 - 19.04.2024 14:15","9925","10331"
