"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"02.01.2024 00:30 - 02.01.2024 00:45","7470","7056"
"02.01.2024 00:45 - 02.01.2024 01:00","7383","6985"
"02.01.2024 01:00 - 02.01.2024 01:15","7356","6961"
"02.01.2024 01:15 - 02.01.2024 01:30","7285","6884"
"02.01.2024 01:30 - 02.01.2024 01:45","7241","6842"
"02.01.2024 01:45 - 02.01.2024 02:00","7188","6855"
"02.01.2024 02:00 - 02.01.2024 02:15","7309","6812"
"02.01.2024 02:15 - 02.01.2024 02:30","7286","6747"
"02.01.2024 02:30 - 02.01.2024 02:45","7271","6692"
"02.01.2024 02:45 - 02.01.2024 03:00","7263","6702"
"02.01.2024 03:00 - 02.01.2024 03:15","7461","6766"
"02.01.2024 03:15 - 02.01.2024 03:30","7486","6791"
"02.01.2024 03:30 - 02.01.2024 03:45","7502","6825"
"02.01.2024 03:45 - 02.01.2024 04:00","7545","6861"
"02.01.2024 04:00 - 02.01.2024 04:15","7827","7027"
"02.01.2024 04:15 - 02.01.2024 04:30","7910","7128"
"02.01.2024 04:30 - 02.01.2024 04:45","8002","7183"
"02.01.2024 04:45 - 02.01.2024 05:00","8139","7332"
"02.01.2024 05:00 - 02.01.2024 05:15","8454","7710"
"02.01.2024 05:15 - 02.01.2024 05:30","8653","7824"
"02.01.2024 05:30 - 02.01.2024 05:45","8860","7955"
"02.01.2024 05:45 - 02.01.2024 06:00","9062","8101"
"02.01.2024 06:00 - 02.01.2024 06:15","9233","8244"
"02.01.2024 06:15 - 02.01.2024 06:30","9415","8406"
"02.01.2024 06:30 - 02.01.2024 06:45","9624","8600"
"02.01.2024 06:45 - 02.01.2024 07:00","9785","8780"
"02.01.2024 07:00 - 02.01.2024 07:15","10132","8964"
"02.01.2024 07:15 - 02.01.2024 07:30","10245","9113"
"02.01.2024 07:30 - 02.01.2024 07:45","10316","9288"
"02.01.2024 07:45 - 02.01.2024 08:00","10376","9339"
"02.01.2024 08:00 - 02.01.2024 08:15","9987","9435"
"02.01.2024 08:15 - 02.01.2024 08:30","10063","9599"
"02.01.2024 08:30 - 02.01.2024 08:45","10124","9700"
"02.01.2024 08:45 - 02.01.2024 09:00","10137","9783"
"02.01.2024 09:00 - 02.01.2024 09:15","9870","9836"
"02.01.2024 09:15 - 02.01.2024 09:30","9887","9826"
"02.01.2024 09:30 - 02.01.2024 09:45","9899","9845"
"02.01.2024 09:45 - 02.01.2024 10:00","9896","9907"
"02.01.2024 10:00 - 02.01.2024 10:15","9934","9888"
"02.01.2024 10:15 - 02.01.2024 10:30","9966","9955"
"02.01.2024 10:30 - 02.01.2024 10:45","10032","10092"
"02.01.2024 10:45 - 02.01.2024 11:00","10077","10181"
"02.01.2024 11:00 - 02.01.2024 11:15","10000","10128"
"02.01.2024 11:15 - 02.01.2024 11:30","9922","10115"
"02.01.2024 11:30 - 02.01.2024 11:45","9915","10202"
"02.01.2024 11:45 - 02.01.2024 12:00","9891","10276"
"02.01.2024 12:00 - 02.01.2024 12:15","9908","10235"
"02.01.2024 12:15 - 02.01.2024 12:30","9842","10273"
"02.01.2024 12:30 - 02.01.2024 12:45","9834","10330"
"02.01.2024 12:45 - 02.01.2024 13:00","9775","10276"
"02.01.2024 13:00 - 02.01.2024 13:15","9714","10217"
"02.01.2024 13:15 - 02.01.2024 13:30","9693","10207"
"02.01.2024 13:30 - 02.01.2024 13:45","9680","10126"
"02.01.2024 13:45 - 02.01.2024 14:00","9679","10113"
"02.01.2024 14:00 - 02.01.2024 14:15","9703","10174"
"02.01.2024 14:15 - 02.01.2024 14:30","9683","10124"
"02.01.2024 14:30 - 02.01.2024 14:45","9677","10047"
"02.01.2024 14:45 - 02.01.2024 15:00","9676","9983"
"02.01.2024 15:00 - 02.01.2024 15:15","9670","9985"
"02.01.2024 15:15 - 02.01.2024 15:30","9697","9980"
"02.01.2024 15:30 - 02.01.2024 15:45","9762","10090"
"02.01.2024 15:45 - 02.01.2024 16:00","9916","10297"
"02.01.2024 16:00 - 02.01.2024 16:15","10132","10431"
"02.01.2024 16:15 - 02.01.2024 16:30","10198","10424"
"02.01.2024 16:30 - 02.01.2024 16:45","10269","10412"
"02.01.2024 16:45 - 02.01.2024 17:00","10312","10440"
"02.01.2024 17:00 - 02.01.2024 17:15","10352","10501"
"02.01.2024 17:15 - 02.01.2024 17:30","10309","10590"
"02.01.2024 17:30 - 02.01.2024 17:45","10272","10593"
"02.01.2024 17:45 - 02.01.2024 18:00","10194","10589"
"02.01.2024 18:00 - 02.01.2024 18:15","10112","10396"
"02.01.2024 18:15 - 02.01.2024 18:30","10000","10086"
"02.01.2024 18:30 - 02.01.2024 18:45","9885","10012"
"02.01.2024 18:45 - 02.01.2024 19:00","9770","9883"
"02.01.2024 19:00 - 02.01.2024 19:15","9539","9824"
"02.01.2024 19:15 - 02.01.2024 19:30","9407","9575"
"02.01.2024 19:30 - 02.01.2024 19:45","9300","9531"
"02.01.2024 19:45 - 02.01.2024 20:00","9201","9284"
"02.01.2024 20:00 - 02.01.2024 20:15","9064","9036"
"02.01.2024 20:15 - 02.01.2024 20:30","8948","9114"
"02.01.2024 20:30 - 02.01.2024 20:45","8806","8978"
"02.01.2024 20:45 - 02.01.2024 21:00","8709","8911"
"02.01.2024 21:00 - 02.01.2024 21:15","8817","8908"
"02.01.2024 21:15 - 02.01.2024 21:30","8840","8807"
"02.01.2024 21:30 - 02.01.2024 21:45","8849","8829"
"02.01.2024 21:45 - 02.01.2024 22:00","8780","8666"
"02.01.2024 22:00 - 02.01.2024 22:15","8831","8780"
"02.01.2024 22:15 - 02.01.2024 22:30","8724","8681"
"02.01.2024 22:30 - 02.01.2024 22:45","8599","8540"
"02.01.2024 22:45 - 02.01.2024 23:00","8454","8452"
"02.01.2024 23:00 - 02.01.2024 23:15","8675","8468"
"02.01.2024 23:15 - 02.01.2024 23:30","8519","8418"
"02.01.2024 23:30 - 02.01.2024 23:45","8407","8302"
"02.01.2024 23:45 - 03.01.2024 00:00","8271","8124"
"03.01.2024 00:00 - 03.01.2024 00:15","8471","8031"
"03.01.2024 00:15 - 03.01.2024 00:30","8332","7976"
"03.01.2024 00:30 - 03.01.2024 00:45","8243","7858"
"03.01.2024 00:45 - 03.01.2024 01:00","8147","7713"
"03.01.2024 01:00 - 03.01.2024 01:15","8110","7615"
"03.01.2024 01:15 - 03.01.2024 01:30","8032","7587"
"03.01.2024 01:30 - 03.01.2024 01:45","7984","7559"
"03.01.2024 01:45 - 03.01.2024 02:00","7925","7505"
"03.01.2024 02:00 - 03.01.2024 02:15","7892","7580"
"03.01.2024 02:15 - 03.01.2024 02:30","7866","7541"
"03.01.2024 02:30 - 03.01.2024 02:45","7851","7438"
"03.01.2024 02:45 - 03.01.2024 03:00","7842","7379"
"03.01.2024 03:00 - 03.01.2024 03:15","7903","7479"
"03.01.2024 03:15 - 03.01.2024 03:30","7930","7539"
"03.01.2024 03:30 - 03.01.2024 03:45","7947","7596"
"03.01.2024 03:45 - 03.01.2024 04:00","7992","7655"
"03.01.2024 04:00 - 03.01.2024 04:15","8099","7829"
"03.01.2024 04:15 - 03.01.2024 04:30","8185","7966"
"03.01.2024 04:30 - 03.01.2024 04:45","8280","7995"
"03.01.2024 04:45 - 03.01.2024 05:00","8422","8019"
"03.01.2024 05:00 - 03.01.2024 05:15","8585","8424"
"03.01.2024 05:15 - 03.01.2024 05:30","8787","8565"
"03.01.2024 05:30 - 03.01.2024 05:45","8997","8647"
"03.01.2024 05:45 - 03.01.2024 06:00","9202","8790"
"03.01.2024 06:00 - 03.01.2024 06:15","9257","8931"
"03.01.2024 06:15 - 03.01.2024 06:30","9439","9230"
"03.01.2024 06:30 - 03.01.2024 06:45","9649","9514"
"03.01.2024 06:45 - 03.01.2024 07:00","9810","9624"
"03.01.2024 07:00 - 03.01.2024 07:15","10142","9863"
"03.01.2024 07:15 - 03.01.2024 07:30","10255","10002"
"03.01.2024 07:30 - 03.01.2024 07:45","10326","9992"
"03.01.2024 07:45 - 03.01.2024 08:00","10386","10068"
"03.01.2024 08:00 - 03.01.2024 08:15","10528","10103"
"03.01.2024 08:15 - 03.01.2024 08:30","10607","10149"
"03.01.2024 08:30 - 03.01.2024 08:45","10672","10295"
"03.01.2024 08:45 - 03.01.2024 09:00","10686","10290"
"03.01.2024 09:00 - 03.01.2024 09:15","10761","10350"
"03.01.2024 09:15 - 03.01.2024 09:30","10780","10399"
"03.01.2024 09:30 - 03.01.2024 09:45","10793","10415"
"03.01.2024 09:45 - 03.01.2024 10:00","10790","10451"
"03.01.2024 10:00 - 03.01.2024 10:15","10839","10548"
"03.01.2024 10:15 - 03.01.2024 10:30","10873","10586"
"03.01.2024 10:30 - 03.01.2024 10:45","10945","10671"
"03.01.2024 10:45 - 03.01.2024 11:00","10994","10769"
"03.01.2024 11:00 - 03.01.2024 11:15","10919","10743"
"03.01.2024 11:15 - 03.01.2024 11:30","10834","10556"
"03.01.2024 11:30 - 03.01.2024 11:45","10826","10643"
"03.01.2024 11:45 - 03.01.2024 12:00","10800","10549"
"03.01.2024 12:00 - 03.01.2024 12:15","10826","10618"
"03.01.2024 12:15 - 03.01.2024 12:30","10754","10572"
"03.01.2024 12:30 - 03.01.2024 12:45","10745","10575"
"03.01.2024 12:45 - 03.01.2024 13:00","10681","10520"
"03.01.2024 13:00 - 03.01.2024 13:15","10606","10457"
"03.01.2024 13:15 - 03.01.2024 13:30","10583","10464"
"03.01.2024 13:30 - 03.01.2024 13:45","10569","10387"
"03.01.2024 13:45 - 03.01.2024 14:00","10568","10294"
"03.01.2024 14:00 - 03.01.2024 14:15","10577","10446"
"03.01.2024 14:15 - 03.01.2024 14:30","10555","10397"
"03.01.2024 14:30 - 03.01.2024 14:45","10549","10460"
"03.01.2024 14:45 - 03.01.2024 15:00","10548","10436"
"03.01.2024 15:00 - 03.01.2024 15:15","10533","10319"
"03.01.2024 15:15 - 03.01.2024 15:30","10563","10359"
"03.01.2024 15:30 - 03.01.2024 15:45","10634","10442"
"03.01.2024 15:45 - 03.01.2024 16:00","10802","10550"
"03.01.2024 16:00 - 03.01.2024 16:15","10992","10669"
"03.01.2024 16:15 - 03.01.2024 16:30","11064","10813"
"03.01.2024 16:30 - 03.01.2024 16:45","11140","10964"
"03.01.2024 16:45 - 03.01.2024 17:00","11187","11086"
"03.01.2024 17:00 - 03.01.2024 17:15","11199","11123"
"03.01.2024 17:15 - 03.01.2024 17:30","11153","11055"
"03.01.2024 17:30 - 03.01.2024 17:45","11112","10879"
"03.01.2024 17:45 - 03.01.2024 18:00","11028","10811"
"03.01.2024 18:00 - 03.01.2024 18:15","10913","10658"
"03.01.2024 18:15 - 03.01.2024 18:30","10792","10524"
"03.01.2024 18:30 - 03.01.2024 18:45","10669","10304"
"03.01.2024 18:45 - 03.01.2024 19:00","10545","10182"
"03.01.2024 19:00 - 03.01.2024 19:15","10351","10077"
"03.01.2024 19:15 - 03.01.2024 19:30","10208","10073"
"03.01.2024 19:30 - 03.01.2024 19:45","10092","9871"
"03.01.2024 19:45 - 03.01.2024 20:00","9985","9692"
"03.01.2024 20:00 - 03.01.2024 20:15","9913","9726"
"03.01.2024 20:15 - 03.01.2024 20:30","9786","9551"
"03.01.2024 20:30 - 03.01.2024 20:45","9631","9494"
"03.01.2024 20:45 - 03.01.2024 21:00","9525","9358"
"03.01.2024 21:00 - 03.01.2024 21:15","9657","9479"
"03.01.2024 21:15 - 03.01.2024 21:30","9683","9525"
"03.01.2024 21:30 - 03.01.2024 21:45","9692","9406"
"03.01.2024 21:45 - 03.01.2024 22:00","9617","9259"
"03.01.2024 22:00 - 03.01.2024 22:15","9685","9308"
"03.01.2024 22:15 - 03.01.2024 22:30","9568","9153"
"03.01.2024 22:30 - 03.01.2024 22:45","9430","8990"
"03.01.2024 22:45 - 03.01.2024 23:00","9272","8792"
"03.01.2024 23:00 - 03.01.2024 23:15","9368","8487"
"03.01.2024 23:15 - 03.01.2024 23:30","9193","8271"
"03.01.2024 23:30 - 03.01.2024 23:45","9069","8233"
"03.01.2024 23:45 - 04.01.2024 00:00","8921","8168"
"04.01.2024 00:00 - 04.01.2024 00:15","8615","8125"
"04.01.2024 00:15 - 04.01.2024 00:30","8472","8187"
"04.01.2024 00:30 - 04.01.2024 00:45","8385","8104"
"04.01.2024 00:45 - 04.01.2024 01:00","8274","8010"
"04.01.2024 01:00 - 04.01.2024 01:15","8247","7933"
"04.01.2024 01:15 - 04.01.2024 01:30","8172","7752"
"04.01.2024 01:30 - 04.01.2024 01:45","8118","7713"
"04.01.2024 01:45 - 04.01.2024 02:00","8069","7753"
"04.01.2024 02:00 - 04.01.2024 02:15","8045","7666"
"04.01.2024 02:15 - 04.01.2024 02:30","8016","7773"
"04.01.2024 02:30 - 04.01.2024 02:45","7986","7735"
"04.01.2024 02:45 - 04.01.2024 03:00","7980","7762"
"04.01.2024 03:00 - 04.01.2024 03:15","8032","7791"
"04.01.2024 03:15 - 04.01.2024 03:30","8061","7833"
"04.01.2024 03:30 - 04.01.2024 03:45","8077","7772"
"04.01.2024 03:45 - 04.01.2024 04:00","8123","7782"
