"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"18.02.2024 23:00 - 18.02.2024 23:15","8522","8698"
"18.02.2024 23:15 - 18.02.2024 23:30","8350","8475"
"18.02.2024 23:30 - 18.02.2024 23:45","8282","8363"
"18.02.2024 23:45 - 19.02.2024 00:00","8178","8257"
"19.02.2024 00:00 - 19.02.2024 00:15","8249","8159"
"19.02.2024 00:15 - 19.02.2024 00:30","8114","8087"
"19.02.2024 00:30 - 19.02.2024 00:45","8042","7924"
"19.02.2024 00:45 - 19.02.2024 01:00","7981","7875"
"19.02.2024 01:00 - 19.02.2024 01:15","7922","7839"
"19.02.2024 01:15 - 19.02.2024 01:30","7919","7946"
"19.02.2024 01:30 - 19.02.2024 01:45","7820","7812"
"19.02.2024 01:45 - 19.02.2024 02:00","7755","7698"
"19.02.2024 02:00 - 19.02.2024 02:15","7710","7774"
"19.02.2024 02:15 - 19.02.2024 02:30","7720","7789"
"19.02.2024 02:30 - 19.02.2024 02:45","7658","7833"
"19.02.2024 02:45 - 19.02.2024 03:00","7700","7873"
"19.02.2024 03:00 - 19.02.2024 03:15","7794","7874"
"19.02.2024 03:15 - 19.02.2024 03:30","7836","7917"
"19.02.2024 03:30 - 19.02.2024 03:45","7869","7927"
"19.02.2024 03:45 - 19.02.2024 04:00","7946","7943"
"19.02.2024 04:00 - 19.02.2024 04:15","8158","8184"
"19.02.2024 04:15 - 19.02.2024 04:30","8296","8402"
"19.02.2024 04:30 - 19.02.2024 04:45","8438","8537"
"19.02.2024 04:45 - 19.02.2024 05:00","8631","8725"
"19.02.2024 05:00 - 19.02.2024 05:15","9056","9130"
"19.02.2024 05:15 - 19.02.2024 05:30","9338","9476"
"19.02.2024 05:30 - 19.02.2024 05:45","9538","9776"
"19.02.2024 05:45 - 19.02.2024 06:00","9800","10030"
"19.02.2024 06:00 - 19.02.2024 06:15","10139","10371"
"19.02.2024 06:15 - 19.02.2024 06:30","10342","10699"
"19.02.2024 06:30 - 19.02.2024 06:45","10623","10768"
"19.02.2024 06:45 - 19.02.2024 07:00","10704","10794"
"19.02.2024 07:00 - 19.02.2024 07:15","10839","10901"
"19.02.2024 07:15 - 19.02.2024 07:30","10893","10963"
"19.02.2024 07:30 - 19.02.2024 07:45","11028","11114"
"19.02.2024 07:45 - 19.02.2024 08:00","11178","11262"
"19.02.2024 08:00 - 19.02.2024 08:15","11248","11425"
"19.02.2024 08:15 - 19.02.2024 08:30","11208","11453"
"19.02.2024 08:30 - 19.02.2024 08:45","11287","11482"
"19.02.2024 08:45 - 19.02.2024 09:00","11396","11313"
"19.02.2024 09:00 - 19.02.2024 09:15","11359","11195"
"19.02.2024 09:15 - 19.02.2024 09:30","11343","11102"
"19.02.2024 09:30 - 19.02.2024 09:45","11340","11087"
"19.02.2024 09:45 - 19.02.2024 10:00","11320","11141"
"19.02.2024 10:00 - 19.02.2024 10:15","11264","11109"
"19.02.2024 10:15 - 19.02.2024 10:30","11301","11082"
"19.02.2024 10:30 - 19.02.2024 10:45","11338","11239"
"19.02.2024 10:45 - 19.02.2024 11:00","11379","11361"
"19.02.2024 11:00 - 19.02.2024 11:15","11212","11154"
"19.02.2024 11:15 - 19.02.2024 11:30","11116","11026"
"19.02.2024 11:30 - 19.02.2024 11:45","11126","11101"
"19.02.2024 11:45 - 19.02.2024 12:00","11072","11051"
"19.02.2024 12:00 - 19.02.2024 12:15","11102","11178"
"19.02.2024 12:15 - 19.02.2024 12:30","11014","11107"
"19.02.2024 12:30 - 19.02.2024 12:45","10921","11146"
"19.02.2024 12:45 - 19.02.2024 13:00","10794","10982"
"19.02.2024 13:00 - 19.02.2024 13:15","10728","11031"
"19.02.2024 13:15 - 19.02.2024 13:30","10677","11061"
"19.02.2024 13:30 - 19.02.2024 13:45","10632","10984"
"19.02.2024 13:45 - 19.02.2024 14:00","10602","11024"
"19.02.2024 14:00 - 19.02.2024 14:15","10588","10966"
"19.02.2024 14:15 - 19.02.2024 14:30","10556","10887"
"19.02.2024 14:30 - 19.02.2024 14:45","10582","10937"
"19.02.2024 14:45 - 19.02.2024 15:00","10545","10887"
"19.02.2024 15:00 - 19.02.2024 15:15","10518","10942"
"19.02.2024 15:15 - 19.02.2024 15:30","10549","10936"
"19.02.2024 15:30 - 19.02.2024 15:45","10586","10814"
"19.02.2024 15:45 - 19.02.2024 16:00","10656","10812"
"19.02.2024 16:00 - 19.02.2024 16:15","10665","10845"
"19.02.2024 16:15 - 19.02.2024 16:30","10791","10941"
"19.02.2024 16:30 - 19.02.2024 16:45","11002","11015"
"19.02.2024 16:45 - 19.02.2024 17:00","11251","11164"
"19.02.2024 17:00 - 19.02.2024 17:15","11419","11307"
"19.02.2024 17:15 - 19.02.2024 17:30","11396","11430"
"19.02.2024 17:30 - 19.02.2024 17:45","11365","11474"
"19.02.2024 17:45 - 19.02.2024 18:00","11338","11447"
"19.02.2024 18:00 - 19.02.2024 18:15","11352","11295"
"19.02.2024 18:15 - 19.02.2024 18:30","11146","11109"
"19.02.2024 18:30 - 19.02.2024 18:45","10984","11074"
"19.02.2024 18:45 - 19.02.2024 19:00","10861","10940"
"19.02.2024 19:00 - 19.02.2024 19:15","10680","10855"
"19.02.2024 19:15 - 19.02.2024 19:30","10549","10712"
"19.02.2024 19:30 - 19.02.2024 19:45","10384","10596"
"19.02.2024 19:45 - 19.02.2024 20:00","10284","10467"
"19.02.2024 20:00 - 19.02.2024 20:15","10162","10278"
"19.02.2024 20:15 - 19.02.2024 20:30","10017","10057"
"19.02.2024 20:30 - 19.02.2024 20:45","9841","10028"
"19.02.2024 20:45 - 19.02.2024 21:00","9736","9803"
"19.02.2024 21:00 - 19.02.2024 21:15","9777","9859"
"19.02.2024 21:15 - 19.02.2024 21:30","9864","9749"
"19.02.2024 21:30 - 19.02.2024 21:45","9853","9772"
"19.02.2024 21:45 - 19.02.2024 22:00","9711","9647"
"19.02.2024 22:00 - 19.02.2024 22:15","9740","9670"
"19.02.2024 22:15 - 19.02.2024 22:30","9642","9466"
"19.02.2024 22:30 - 19.02.2024 22:45","9506","9472"
"19.02.2024 22:45 - 19.02.2024 23:00","9375","9354"
"19.02.2024 23:00 - 19.02.2024 23:15","9277","9257"
"19.02.2024 23:15 - 19.02.2024 23:30","9077","9056"
"19.02.2024 23:30 - 19.02.2024 23:45","9043","9005"
"19.02.2024 23:45 - 20.02.2024 00:00","8951","8849"
"20.02.2024 00:00 - 20.02.2024 00:15","8842","8788"
"20.02.2024 00:15 - 20.02.2024 00:30","8718","8661"
"20.02.2024 00:30 - 20.02.2024 00:45","8640","8562"
"20.02.2024 00:45 - 20.02.2024 01:00","8526","8545"
"20.02.2024 01:00 - 20.02.2024 01:15","8469","8502"
"20.02.2024 01:15 - 20.02.2024 01:30","8426","8391"
"20.02.2024 01:30 - 20.02.2024 01:45","8420","8305"
"20.02.2024 01:45 - 20.02.2024 02:00","8364","8257"
"20.02.2024 02:00 - 20.02.2024 02:15","8363","8282"
"20.02.2024 02:15 - 20.02.2024 02:30","8345","8274"
"20.02.2024 02:30 - 20.02.2024 02:45","8323","8300"
"20.02.2024 02:45 - 20.02.2024 03:00","8321","8295"
"20.02.2024 03:00 - 20.02.2024 03:15","8335","8313"
"20.02.2024 03:15 - 20.02.2024 03:30","8374","8370"
"20.02.2024 03:30 - 20.02.2024 03:45","8393","8367"
"20.02.2024 03:45 - 20.02.2024 04:00","8464","8476"
"20.02.2024 04:00 - 20.02.2024 04:15","8689","8717"
"20.02.2024 04:15 - 20.02.2024 04:30","8736","8747"
"20.02.2024 04:30 - 20.02.2024 04:45","8892","8874"
"20.02.2024 04:45 - 20.02.2024 05:00","9063","9121"
"20.02.2024 05:00 - 20.02.2024 05:15","9471","9537"
"20.02.2024 05:15 - 20.02.2024 05:30","9705","9793"
"20.02.2024 05:30 - 20.02.2024 05:45","9981","10102"
"20.02.2024 05:45 - 20.02.2024 06:00","10229","10286"
"20.02.2024 06:00 - 20.02.2024 06:15","10434","10523"
"20.02.2024 06:15 - 20.02.2024 06:30","10654","10868"
"20.02.2024 06:30 - 20.02.2024 06:45","10861","11096"
"20.02.2024 06:45 - 20.02.2024 07:00","11012","11053"
"20.02.2024 07:00 - 20.02.2024 07:15","11065","11126"
"20.02.2024 07:15 - 20.02.2024 07:30","11133","11201"
"20.02.2024 07:30 - 20.02.2024 07:45","11264","11340"
"20.02.2024 07:45 - 20.02.2024 08:00","11349","11435"
"20.02.2024 08:00 - 20.02.2024 08:15","11409","11475"
"20.02.2024 08:15 - 20.02.2024 08:30","11447","11486"
"20.02.2024 08:30 - 20.02.2024 08:45","11498","11533"
"20.02.2024 08:45 - 20.02.2024 09:00","11496","11558"
"20.02.2024 09:00 - 20.02.2024 09:15","11450","11482"
"20.02.2024 09:15 - 20.02.2024 09:30","11428","11390"
"20.02.2024 09:30 - 20.02.2024 09:45","11405","11372"
"20.02.2024 09:45 - 20.02.2024 10:00","11428","11368"
"20.02.2024 10:00 - 20.02.2024 10:15","11408","11369"
"20.02.2024 10:15 - 20.02.2024 10:30","11417","11427"
"20.02.2024 10:30 - 20.02.2024 10:45","11443","11545"
"20.02.2024 10:45 - 20.02.2024 11:00","11441","11495"
"20.02.2024 11:00 - 20.02.2024 11:15","11154","11361"
"20.02.2024 11:15 - 20.02.2024 11:30","11017","11107"
"20.02.2024 11:30 - 20.02.2024 11:45","11006","11093"
"20.02.2024 11:45 - 20.02.2024 12:00","11006","11117"
"20.02.2024 12:00 - 20.02.2024 12:15","10964","11032"
"20.02.2024 12:15 - 20.02.2024 12:30","10901","10966"
"20.02.2024 12:30 - 20.02.2024 12:45","10860","11078"
"20.02.2024 12:45 - 20.02.2024 13:00","10804","10862"
"20.02.2024 13:00 - 20.02.2024 13:15","10676","10810"
"20.02.2024 13:15 - 20.02.2024 13:30","10590","10809"
"20.02.2024 13:30 - 20.02.2024 13:45","10592","10813"
"20.02.2024 13:45 - 20.02.2024 14:00","10588","10822"
"20.02.2024 14:00 - 20.02.2024 14:15","10527","10829"
"20.02.2024 14:15 - 20.02.2024 14:30","10514","10806"
"20.02.2024 14:30 - 20.02.2024 14:45","10486","10811"
"20.02.2024 14:45 - 20.02.2024 15:00","10482","10821"
"20.02.2024 15:00 - 20.02.2024 15:15","10551","10834"
"20.02.2024 15:15 - 20.02.2024 15:30","10560","10910"
"20.02.2024 15:30 - 20.02.2024 15:45","10567","10940"
"20.02.2024 15:45 - 20.02.2024 16:00","10568","11043"
"20.02.2024 16:00 - 20.02.2024 16:15","10710","11101"
"20.02.2024 16:15 - 20.02.2024 16:30","10800","11238"
"20.02.2024 16:30 - 20.02.2024 16:45","10980","11395"
"20.02.2024 16:45 - 20.02.2024 17:00","11133","11442"
"20.02.2024 17:00 - 20.02.2024 17:15","11252","11554"
"20.02.2024 17:15 - 20.02.2024 17:30","11256","11610"
"20.02.2024 17:30 - 20.02.2024 17:45","11262","11680"
"20.02.2024 17:45 - 20.02.2024 18:00","11187","11714"
"20.02.2024 18:00 - 20.02.2024 18:15","11188","11563"
"20.02.2024 18:15 - 20.02.2024 18:30","11062","11418"
"20.02.2024 18:30 - 20.02.2024 18:45","10934","11154"
"20.02.2024 18:45 - 20.02.2024 19:00","10813","11080"
"20.02.2024 19:00 - 20.02.2024 19:15","10635","10872"
"20.02.2024 19:15 - 20.02.2024 19:30","10509","10722"
"20.02.2024 19:30 - 20.02.2024 19:45","10384","10422"
"20.02.2024 19:45 - 20.02.2024 20:00","10282","10335"
"20.02.2024 20:00 - 20.02.2024 20:15","10140","10267"
"20.02.2024 20:15 - 20.02.2024 20:30","9976","10060"
"20.02.2024 20:30 - 20.02.2024 20:45","9858","9966"
"20.02.2024 20:45 - 20.02.2024 21:00","9719","9722"
"20.02.2024 21:00 - 20.02.2024 21:15","9722","9806"
"20.02.2024 21:15 - 20.02.2024 21:30","9716","9832"
"20.02.2024 21:30 - 20.02.2024 21:45","9697","9787"
"20.02.2024 21:45 - 20.02.2024 22:00","9589","9746"
"20.02.2024 22:00 - 20.02.2024 22:15","9600","9632"
"20.02.2024 22:15 - 20.02.2024 22:30","9474","9485"
"20.02.2024 22:30 - 20.02.2024 22:45","9386","9401"
"20.02.2024 22:45 - 20.02.2024 23:00","9254","9344"
"20.02.2024 23:00 - 20.02.2024 23:15","9358","9192"
"20.02.2024 23:15 - 20.02.2024 23:30","9186","9036"
"20.02.2024 23:30 - 20.02.2024 23:45","9076","9016"
"20.02.2024 23:45 - 21.02.2024 00:00","8962","8967"
"21.02.2024 00:00 - 21.02.2024 00:15","8930","8940"
"21.02.2024 00:15 - 21.02.2024 00:30","8806","8819"
"21.02.2024 00:30 - 21.02.2024 00:45","8726","8832"
"21.02.2024 00:45 - 21.02.2024 01:00","8612","8756"
"21.02.2024 01:00 - 21.02.2024 01:15","8474","8668"
"21.02.2024 01:15 - 21.02.2024 01:30","8431","8527"
"21.02.2024 01:30 - 21.02.2024 01:45","8425","8400"
"21.02.2024 01:45 - 21.02.2024 02:00","8369","8288"
"21.02.2024 02:00 - 21.02.2024 02:15","8392","8232"
"21.02.2024 02:15 - 21.02.2024 02:30","8374","8191"
"21.02.2024 02:30 - 21.02.2024 02:45","8352","8104"
"21.02.2024 02:45 - 21.02.2024 03:00","8350","8084"
"21.02.2024 03:00 - 21.02.2024 03:15","8242","8101"
"21.02.2024 03:15 - 21.02.2024 03:30","8281","8150"
"21.02.2024 03:30 - 21.02.2024 03:45","8300","8335"
"21.02.2024 03:45 - 21.02.2024 04:00","8369","8443"
"21.02.2024 04:00 - 21.02.2024 04:15","8538","8585"
"21.02.2024 04:15 - 21.02.2024 04:30","8584","8735"
"21.02.2024 04:30 - 21.02.2024 04:45","8737","8837"
"21.02.2024 04:45 - 21.02.2024 05:00","8906","9009"
"21.02.2024 05:00 - 21.02.2024 05:15","9319","9381"
"21.02.2024 05:15 - 21.02.2024 05:30","9549","9743"
"21.02.2024 05:30 - 21.02.2024 05:45","9820","9988"
"21.02.2024 05:45 - 21.02.2024 06:00","10065","10151"
"21.02.2024 06:00 - 21.02.2024 06:15","10264","10424"
"21.02.2024 06:15 - 21.02.2024 06:30","10480","10686"
"21.02.2024 06:30 - 21.02.2024 06:45","10684","10912"
"21.02.2024 06:45 - 21.02.2024 07:00","10833","10967"
"21.02.2024 07:00 - 21.02.2024 07:15","10874","11037"
"21.02.2024 07:15 - 21.02.2024 07:30","10941","11232"
"21.02.2024 07:30 - 21.02.2024 07:45","11069","11383"
"21.02.2024 07:45 - 21.02.2024 08:00","11152","11486"
"21.02.2024 08:00 - 21.02.2024 08:15","11194","11446"
"21.02.2024 08:15 - 21.02.2024 08:30","11231","11441"
"21.02.2024 08:30 - 21.02.2024 08:45","11282","11484"
"21.02.2024 08:45 - 21.02.2024 09:00","11280","11498"
"21.02.2024 09:00 - 21.02.2024 09:15","11343","11534"
"21.02.2024 09:15 - 21.02.2024 09:30","11321","11475"
"21.02.2024 09:30 - 21.02.2024 09:45","11299","11479"
"21.02.2024 09:45 - 21.02.2024 10:00","11322","11460"
"21.02.2024 10:00 - 21.02.2024 10:15","11290","11417"
"21.02.2024 10:15 - 21.02.2024 10:30","11299","11461"
"21.02.2024 10:30 - 21.02.2024 10:45","11325","11531"
"21.02.2024 10:45 - 21.02.2024 11:00","11323","11533"
"21.02.2024 11:00 - 21.02.2024 11:15","11180","11225"
"21.02.2024 11:15 - 21.02.2024 11:30","11042","11211"
"21.02.2024 11:30 - 21.02.2024 11:45","11031","11203"
"21.02.2024 11:45 - 21.02.2024 12:00","11031","11201"
"21.02.2024 12:00 - 21.02.2024 12:15","10988","11217"
"21.02.2024 12:15 - 21.02.2024 12:30","10924","11167"
"21.02.2024 12:30 - 21.02.2024 12:45","10883","11226"
"21.02.2024 12:45 - 21.02.2024 13:00","10827","11129"
"21.02.2024 13:00 - 21.02.2024 13:15","10808","11104"
"21.02.2024 13:15 - 21.02.2024 13:30","10721","11070"
"21.02.2024 13:30 - 21.02.2024 13:45","10723","11063"
"21.02.2024 13:45 - 21.02.2024 14:00","10719","11093"
"21.02.2024 14:00 - 21.02.2024 14:15","10771","11079"
"21.02.2024 14:15 - 21.02.2024 14:30","10757","10911"
"21.02.2024 14:30 - 21.02.2024 14:45","10729","10863"
"21.02.2024 14:45 - 21.02.2024 15:00","10725","10939"
"21.02.2024 15:00 - 21.02.2024 15:15","10605","10980"
"21.02.2024 15:15 - 21.02.2024 15:30","10614","11007"
"21.02.2024 15:30 - 21.02.2024 15:45","10621","10992"
"21.02.2024 15:45 - 21.02.2024 16:00","10622","11100"
"21.02.2024 16:00 - 21.02.2024 16:15","10665","11194"
"21.02.2024 16:15 - 21.02.2024 16:30","10755","11193"
"21.02.2024 16:30 - 21.02.2024 16:45","10934","11350"
"21.02.2024 16:45 - 21.02.2024 17:00","11087","11410"
"21.02.2024 17:00 - 21.02.2024 17:15","11288","11415"
"21.02.2024 17:15 - 21.02.2024 17:30","11292","11633"
"21.02.2024 17:30 - 21.02.2024 17:45","11297","11672"
"21.02.2024 17:45 - 21.02.2024 18:00","11223","11639"
"21.02.2024 18:00 - 21.02.2024 18:15","11124","11543"
"21.02.2024 18:15 - 21.02.2024 18:30","10998","11441"
"21.02.2024 18:30 - 21.02.2024 18:45","10871","11266"
"21.02.2024 18:45 - 21.02.2024 19:00","10751","11152"
"21.02.2024 19:00 - 21.02.2024 19:15","10653","10970"
"21.02.2024 19:15 - 21.02.2024 19:30","10527","10717"
"21.02.2024 19:30 - 21.02.2024 19:45","10402","10494"
"21.02.2024 19:45 - 21.02.2024 20:00","10300","10442"
"21.02.2024 20:00 - 21.02.2024 20:15","10123","10323"
"21.02.2024 20:15 - 21.02.2024 20:30","9960","10182"
"21.02.2024 20:30 - 21.02.2024 20:45","9841","9972"
"21.02.2024 20:45 - 21.02.2024 21:00","9703","9723"
"21.02.2024 21:00 - 21.02.2024 21:15","9751","9755"
"21.02.2024 21:15 - 21.02.2024 21:30","9746","9839"
"21.02.2024 21:30 - 21.02.2024 21:45","9726","9847"
"21.02.2024 21:45 - 21.02.2024 22:00","9619","9783"
"21.02.2024 22:00 - 21.02.2024 22:15","9598","9698"
"21.02.2024 22:15 - 21.02.2024 22:30","9473","9588"
"21.02.2024 22:30 - 21.02.2024 22:45","9385","9406"
"21.02.2024 22:45 - 21.02.2024 23:00","9253","9345"
"21.02.2024 23:00 - 21.02.2024 23:15","9229","9142"
"21.02.2024 23:15 - 21.02.2024 23:30","9062","8960"
"21.02.2024 23:30 - 21.02.2024 23:45","8960","8864"
"21.02.2024 23:45 - 22.02.2024 00:00","8852","8707"
"22.02.2024 00:00 - 22.02.2024 00:15","8795","8684"
"22.02.2024 00:15 - 22.02.2024 00:30","8671","8588"
"22.02.2024 00:30 - 22.02.2024 00:45","8588","8496"
"22.02.2024 00:45 - 22.02.2024 01:00","8482","8418"
"22.02.2024 01:00 - 22.02.2024 01:15","8407","8371"
"22.02.2024 01:15 - 22.02.2024 01:30","8360","8349"
"22.02.2024 01:30 - 22.02.2024 01:45","8348","8392"
"22.02.2024 01:45 - 22.02.2024 02:00","8300","8386"
"22.02.2024 02:00 - 22.02.2024 02:15","8193","8353"
"22.02.2024 02:15 - 22.02.2024 02:30","8177","8329"
"22.02.2024 02:30 - 22.02.2024 02:45","8160","8343"
"22.02.2024 02:45 - 22.02.2024 03:00","8156","8351"
"22.02.2024 03:00 - 22.02.2024 03:15","8177","8429"
"22.02.2024 03:15 - 22.02.2024 03:30","8215","8439"
"22.02.2024 03:30 - 22.02.2024 03:45","8231","8440"
"22.02.2024 03:45 - 22.02.2024 04:00","8301","8470"
"22.02.2024 04:00 - 22.02.2024 04:15","8589","8668"
"22.02.2024 04:15 - 22.02.2024 04:30","8634","8779"
"22.02.2024 04:30 - 22.02.2024 04:45","8785","8935"
"22.02.2024 04:45 - 22.02.2024 05:00","8958","9071"
"22.02.2024 05:00 - 22.02.2024 05:15","9421","9522"
"22.02.2024 05:15 - 22.02.2024 05:30","9656","9841"
"22.02.2024 05:30 - 22.02.2024 05:45","9928","10152"
"22.02.2024 05:45 - 22.02.2024 06:00","10176","10254"
"22.02.2024 06:00 - 22.02.2024 06:15","10347","10555"
"22.02.2024 06:15 - 22.02.2024 06:30","10569","10903"
"22.02.2024 06:30 - 22.02.2024 06:45","10775","10960"
"22.02.2024 06:45 - 22.02.2024 07:00","10903","10987"
"22.02.2024 07:00 - 22.02.2024 07:15","10963","11090"
"22.02.2024 07:15 - 22.02.2024 07:30","11034","11085"
"22.02.2024 07:30 - 22.02.2024 07:45","11164","11167"
"22.02.2024 07:45 - 22.02.2024 08:00","11248","11239"
"22.02.2024 08:00 - 22.02.2024 08:15","11296","11243"
"22.02.2024 08:15 - 22.02.2024 08:30","11334","11283"
"22.02.2024 08:30 - 22.02.2024 08:45","11385","11377"
"22.02.2024 08:45 - 22.02.2024 09:00","11396","11366"
"22.02.2024 09:00 - 22.02.2024 09:15","11283","11359"
"22.02.2024 09:15 - 22.02.2024 09:30","11242","11292"
"22.02.2024 09:30 - 22.02.2024 09:45","11239","11289"
"22.02.2024 09:45 - 22.02.2024 10:00","11249","11328"
"22.02.2024 10:00 - 22.02.2024 10:15","11228","11246"
"22.02.2024 10:15 - 22.02.2024 10:30","11237","11229"
"22.02.2024 10:30 - 22.02.2024 10:45","11294","11244"
"22.02.2024 10:45 - 22.02.2024 11:00","11284","11187"
"22.02.2024 11:00 - 22.02.2024 11:15","11099","11005"
"22.02.2024 11:15 - 22.02.2024 11:30","10960","10863"
"22.02.2024 11:30 - 22.02.2024 11:45","10939","10884"
"22.02.2024 11:45 - 22.02.2024 12:00","10951","10842"
"22.02.2024 12:00 - 22.02.2024 12:15","10961","10844"
"22.02.2024 12:15 - 22.02.2024 12:30","10893","10800"
"22.02.2024 12:30 - 22.02.2024 12:45","10868","10832"
"22.02.2024 12:45 - 22.02.2024 13:00","10790","10842"
"22.02.2024 13:00 - 22.02.2024 13:15","10680","10827"
"22.02.2024 13:15 - 22.02.2024 13:30","10602","10812"
"22.02.2024 13:30 - 22.02.2024 13:45","10600","10733"
"22.02.2024 13:45 - 22.02.2024 14:00","10597","10753"
"22.02.2024 14:00 - 22.02.2024 14:15","10646","10740"
"22.02.2024 14:15 - 22.02.2024 14:30","10638","10797"
"22.02.2024 14:30 - 22.02.2024 14:45","10618","10782"
"22.02.2024 14:45 - 22.02.2024 15:00","10623","10830"
"22.02.2024 15:00 - 22.02.2024 15:15","10585","10785"
"22.02.2024 15:15 - 22.02.2024 15:30","10592","10837"
"22.02.2024 15:30 - 22.02.2024 15:45","10606","10988"
"22.02.2024 15:45 - 22.02.2024 16:00","10617","11012"
"22.02.2024 16:00 - 22.02.2024 16:15","10667","11033"
"22.02.2024 16:15 - 22.02.2024 16:30","10769","11030"
"22.02.2024 16:30 - 22.02.2024 16:45","10951","11040"
"22.02.2024 16:45 - 22.02.2024 17:00","11097","11283"
"22.02.2024 17:00 - 22.02.2024 17:15","11371","11272"
"22.02.2024 17:15 - 22.02.2024 17:30","11375","11525"
"22.02.2024 17:30 - 22.02.2024 17:45","11389","11551"
"22.02.2024 17:45 - 22.02.2024 18:00","11327","11565"
"22.02.2024 18:00 - 22.02.2024 18:15","11277","11505"
"22.02.2024 18:15 - 22.02.2024 18:30","11147","11463"
"22.02.2024 18:30 - 22.02.2024 18:45","10999","11288"
"22.02.2024 18:45 - 22.02.2024 19:00","10881","11166"
"22.02.2024 19:00 - 22.02.2024 19:15","10638","10844"
"22.02.2024 19:15 - 22.02.2024 19:30","10516","10749"
"22.02.2024 19:30 - 22.02.2024 19:45","10374","10677"
"22.02.2024 19:45 - 22.02.2024 20:00","10277","10542"
"22.02.2024 20:00 - 22.02.2024 20:15","10123","10361"
"22.02.2024 20:15 - 22.02.2024 20:30","9956","10317"
"22.02.2024 20:30 - 22.02.2024 20:45","9837","10182"
"22.02.2024 20:45 - 22.02.2024 21:00","9686","9942"
"22.02.2024 21:00 - 22.02.2024 21:15","9861","10026"
"22.02.2024 21:15 - 22.02.2024 21:30","9859","10002"
"22.02.2024 21:30 - 22.02.2024 21:45","9836","10075"
"22.02.2024 21:45 - 22.02.2024 22:00","9735","9977"
"22.02.2024 22:00 - 22.02.2024 22:15","9741","9906"
"22.02.2024 22:15 - 22.02.2024 22:30","9607","9833"
"22.02.2024 22:30 - 22.02.2024 22:45","9522","9637"
"22.02.2024 22:45 - 22.02.2024 23:00","9395","9473"
"22.02.2024 23:00 - 22.02.2024 23:15","9216","9197"
"22.02.2024 23:15 - 22.02.2024 23:30","9049","9121"
"22.02.2024 23:30 - 22.02.2024 23:45","8956","8931"
"22.02.2024 23:45 - 23.02.2024 00:00","8841","8833"
"23.02.2024 00:00 - 23.02.2024 00:15","8630","8848"
"23.02.2024 00:15 - 23.02.2024 00:30","8503","8816"
"23.02.2024 00:30 - 23.02.2024 00:45","8429","8765"
"23.02.2024 00:45 - 23.02.2024 01:00","8325","8626"
"23.02.2024 01:00 - 23.02.2024 01:15","8322","8647"
"23.02.2024 01:15 - 23.02.2024 01:30","8267","8560"
"23.02.2024 01:30 - 23.02.2024 01:45","8255","8527"
"23.02.2024 01:45 - 23.02.2024 02:00","8205","8554"
"23.02.2024 02:00 - 23.02.2024 02:15","8320","8444"
"23.02.2024 02:15 - 23.02.2024 02:30","8298","8432"
"23.02.2024 02:30 - 23.02.2024 02:45","8279","8578"
"23.02.2024 02:45 - 23.02.2024 03:00","8280","8506"
"23.02.2024 03:00 - 23.02.2024 03:15","8350","8515"
"23.02.2024 03:15 - 23.02.2024 03:30","8394","8569"
"23.02.2024 03:30 - 23.02.2024 03:45","8418","8631"
"23.02.2024 03:45 - 23.02.2024 04:00","8486","8698"
"23.02.2024 04:00 - 23.02.2024 04:15","8645","8811"
"23.02.2024 04:15 - 23.02.2024 04:30","8704","8899"
"23.02.2024 04:30 - 23.02.2024 04:45","8850","8945"
"23.02.2024 04:45 - 23.02.2024 05:00","9030","9221"
"23.02.2024 05:00 - 23.02.2024 05:15","9388","9537"
"23.02.2024 05:15 - 23.02.2024 05:30","9638","9793"
"23.02.2024 05:30 - 23.02.2024 05:45","9904","10044"
"23.02.2024 05:45 - 23.02.2024 06:00","10133","10335"
"23.02.2024 06:00 - 23.02.2024 06:15","10247","10575"
"23.02.2024 06:15 - 23.02.2024 06:30","10475","10778"
"23.02.2024 06:30 - 23.02.2024 06:45","10672","10861"
"23.02.2024 06:45 - 23.02.2024 07:00","10793","10976"
"23.02.2024 07:00 - 23.02.2024 07:15","10888","11027"
"23.02.2024 07:15 - 23.02.2024 07:30","10961","11059"
"23.02.2024 07:30 - 23.02.2024 07:45","11087","11260"
"23.02.2024 07:45 - 23.02.2024 08:00","11173","11451"
"23.02.2024 08:00 - 23.02.2024 08:15","11234","11366"
"23.02.2024 08:15 - 23.02.2024 08:30","11272","11531"
"23.02.2024 08:30 - 23.02.2024 08:45","11328","11504"
"23.02.2024 08:45 - 23.02.2024 09:00","11338","11508"
"23.02.2024 09:00 - 23.02.2024 09:15","11270","11376"
"23.02.2024 09:15 - 23.02.2024 09:30","11236","11371"
"23.02.2024 09:30 - 23.02.2024 09:45","11231","11320"
"23.02.2024 09:45 - 23.02.2024 10:00","11236","11405"
"23.02.2024 10:00 - 23.02.2024 10:15","11205","11309"
"23.02.2024 10:15 - 23.02.2024 10:30","11221","11371"
"23.02.2024 10:30 - 23.02.2024 10:45","11262","11359"
"23.02.2024 10:45 - 23.02.2024 11:00","11250","11384"
"23.02.2024 11:00 - 23.02.2024 11:15","11190","11074"
"23.02.2024 11:15 - 23.02.2024 11:30","11056","10963"
"23.02.2024 11:30 - 23.02.2024 11:45","11055","10849"
