"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"02.01.2024 00:30 - 02.01.2024 00:45","19390","19844"
"02.01.2024 00:45 - 02.01.2024 01:00","19087","19468"
"02.01.2024 01:00 - 02.01.2024 01:15","18744","19184"
"02.01.2024 01:15 - 02.01.2024 01:30","18531","18984"
"02.01.2024 01:30 - 02.01.2024 01:45","18363","18764"
"02.01.2024 01:45 - 02.01.2024 02:00","18234","18636"
"02.01.2024 02:00 - 02.01.2024 02:15","18099","18496"
"02.01.2024 02:15 - 02.01.2024 02:30","18019","18428"
"02.01.2024 02:30 - 02.01.2024 02:45","17950","18344"
"02.01.2024 02:45 - 02.01.2024 03:00","17901","18284"
"02.01.2024 03:00 - 02.01.2024 03:15","17789","18236"
"02.01.2024 03:15 - 02.01.2024 03:30","17806","18276"
"02.01.2024 03:30 - 02.01.2024 03:45","17874","18336"
"02.01.2024 03:45 - 02.01.2024 04:00","18018","18336"
"02.01.2024 04:00 - 02.01.2024 04:15","18003","18364"
"02.01.2024 04:15 - 02.01.2024 04:30","18385","18652"
"02.01.2024 04:30 - 02.01.2024 04:45","18920","18936"
"02.01.2024 04:45 - 02.01.2024 05:00","19593","19148"
"02.01.2024 05:00 - 02.01.2024 05:15","20292","19540"
"02.01.2024 05:15 - 02.01.2024 05:30","21159","20736"
"02.01.2024 05:30 - 02.01.2024 05:45","22083","21480"
"02.01.2024 05:45 - 02.01.2024 06:00","23030","22136"
"02.01.2024 06:00 - 02.01.2024 06:15","24157","22952"
"02.01.2024 06:15 - 02.01.2024 06:30","25050","24340"
"02.01.2024 06:30 - 02.01.2024 06:45","25864","25056"
"02.01.2024 06:45 - 02.01.2024 07:00","26599","25924"
"02.01.2024 07:00 - 02.01.2024 07:15","27429","26540"
"02.01.2024 07:15 - 02.01.2024 07:30","28029","27376"
"02.01.2024 07:30 - 02.01.2024 07:45","28566","28080"
"02.01.2024 07:45 - 02.01.2024 08:00","29038","28424"
"02.01.2024 08:00 - 02.01.2024 08:15","29601","28724"
"02.01.2024 08:15 - 02.01.2024 08:30","29932","29364"
"02.01.2024 08:30 - 02.01.2024 08:45","30186","29784"
"02.01.2024 08:45 - 02.01.2024 09:00","30370","30052"
"02.01.2024 09:00 - 02.01.2024 09:15","30599","30308"
"02.01.2024 09:15 - 02.01.2024 09:30","30661","30492"
"02.01.2024 09:30 - 02.01.2024 09:45","30672","30660"
"02.01.2024 09:45 - 02.01.2024 10:00","30638","30632"
"02.01.2024 10:00 - 02.01.2024 10:15","30621","30508"
"02.01.2024 10:15 - 02.01.2024 10:30","30515","30488"
"02.01.2024 10:30 - 02.01.2024 10:45","30385","30356"
"02.01.2024 10:45 - 02.01.2024 11:00","30247","30288"
"02.01.2024 11:00 - 02.01.2024 11:15","30054","30340"
"02.01.2024 11:15 - 02.01.2024 11:30","29963","30300"
"02.01.2024 11:30 - 02.01.2024 11:45","29917","30336"
"02.01.2024 11:45 - 02.01.2024 12:00","29902","30444"
"02.01.2024 12:00 - 02.01.2024 12:15","29932","30440"
"02.01.2024 12:15 - 02.01.2024 12:30","29910","30708"
"02.01.2024 12:30 - 02.01.2024 12:45","29855","30936"
"02.01.2024 12:45 - 02.01.2024 13:00","29775","30852"
"02.01.2024 13:00 - 02.01.2024 13:15","29676","31024"
"02.01.2024 13:15 - 02.01.2024 13:30","29582","30928"
"02.01.2024 13:30 - 02.01.2024 13:45","29497","31076"
"02.01.2024 13:45 - 02.01.2024 14:00","29427","31016"
"02.01.2024 14:00 - 02.01.2024 14:15","29325","30856"
"02.01.2024 14:15 - 02.01.2024 14:30","29292","30636"
"02.01.2024 14:30 - 02.01.2024 14:45","29285","30564"
"02.01.2024 14:45 - 02.01.2024 15:00","29319","30524"
"02.01.2024 15:00 - 02.01.2024 15:15","29258","30452"
"02.01.2024 15:15 - 02.01.2024 15:30","29422","30484"
"02.01.2024 15:30 - 02.01.2024 15:45","29673","30392"
"02.01.2024 15:45 - 02.01.2024 16:00","30000","30428"
"02.01.2024 16:00 - 02.01.2024 16:15","30331","30572"
"02.01.2024 16:15 - 02.01.2024 16:30","30762","30736"
"02.01.2024 16:30 - 02.01.2024 16:45","31217","30896"
"02.01.2024 16:45 - 02.01.2024 17:00","31659","31088"
"02.01.2024 17:00 - 02.01.2024 17:15","32261","31644"
"02.01.2024 17:15 - 02.01.2024 17:30","32548","32016"
"02.01.2024 17:30 - 02.01.2024 17:45","32706","32408"
"02.01.2024 17:45 - 02.01.2024 18:00","32770","32648"
"02.01.2024 18:00 - 02.01.2024 18:15","32761","32868"
"02.01.2024 18:15 - 02.01.2024 18:30","32785","32860"
"02.01.2024 18:30 - 02.01.2024 18:45","32851","32668"
"02.01.2024 18:45 - 02.01.2024 19:00","32948","32860"
"02.01.2024 19:00 - 02.01.2024 19:15","33112","32968"
"02.01.2024 19:15 - 02.01.2024 19:30","33198","33096"
"02.01.2024 19:30 - 02.01.2024 19:45","33240","33340"
"02.01.2024 19:45 - 02.01.2024 20:00","33202","33556"
"02.01.2024 20:00 - 02.01.2024 20:15","33372","33700"
"02.01.2024 20:15 - 02.01.2024 20:30","33053","33456"
"02.01.2024 20:30 - 02.01.2024 20:45","32549","33172"
"02.01.2024 20:45 - 02.01.2024 21:00","31896","32608"
"02.01.2024 21:00 - 02.01.2024 21:15","31239","31972"
"02.01.2024 21:15 - 02.01.2024 21:30","30435","30920"
"02.01.2024 21:30 - 02.01.2024 21:45","29628","30272"
"02.01.2024 21:45 - 02.01.2024 22:00","28840","29588"
"02.01.2024 22:00 - 02.01.2024 22:15","28009","28756"
"02.01.2024 22:15 - 02.01.2024 22:30","27318","27896"
"02.01.2024 22:30 - 02.01.2024 22:45","26694","27236"
"02.01.2024 22:45 - 02.01.2024 23:00","26124","26500"
"02.01.2024 23:00 - 02.01.2024 23:15","25559","25768"
"02.01.2024 23:15 - 02.01.2024 23:30","25021","25356"
"02.01.2024 23:30 - 02.01.2024 23:45","24500","25068"
"02.01.2024 23:45 - 03.01.2024 00:00","24015","24472"
"03.01.2024 00:00 - 03.01.2024 00:15","23458","23884"
"03.01.2024 00:15 - 03.01.2024 00:30","23098","23448"
"03.01.2024 00:30 - 03.01.2024 00:45","22817","23048"
"03.01.2024 00:45 - 03.01.2024 01:00","22591","22544"
"03.01.2024 01:00 - 03.01.2024 01:15","22416","22192"
"03.01.2024 01:15 - 03.01.2024 01:30","22204","21964"
"03.01.2024 01:30 - 03.01.2024 01:45","21961","21640"
"03.01.2024 01:45 - 03.01.2024 02:00","21714","21532"
"03.01.2024 02:00 - 03.01.2024 02:15","21359","21308"
"03.01.2024 02:15 - 03.01.2024 02:30","21209","21172"
"03.01.2024 02:30 - 03.01.2024 02:45","21151","21212"
"03.01.2024 02:45 - 03.01.2024 03:00","21165","21056"
"03.01.2024 03:00 - 03.01.2024 03:15","21195","20892"
"03.01.2024 03:15 - 03.01.2024 03:30","21268","20840"
"03.01.2024 03:30 - 03.01.2024 03:45","21339","20956"
"03.01.2024 03:45 - 03.01.2024 04:00","21431","20956"
"03.01.2024 04:00 - 03.01.2024 04:15","21381","20972"
"03.01.2024 04:15 - 03.01.2024 04:30","21621","21220"
"03.01.2024 04:30 - 03.01.2024 04:45","21981","21440"
"03.01.2024 04:45 - 03.01.2024 05:00","22466","21568"
"03.01.2024 05:00 - 03.01.2024 05:15","22885","21972"
"03.01.2024 05:15 - 03.01.2024 05:30","23610","22908"
"03.01.2024 05:30 - 03.01.2024 05:45","24445","23448"
"03.01.2024 05:45 - 03.01.2024 06:00","25349","24152"
"03.01.2024 06:00 - 03.01.2024 06:15","26430","24888"
"03.01.2024 06:15 - 03.01.2024 06:30","27324","25936"
"03.01.2024 06:30 - 03.01.2024 06:45","28141","26684"
"03.01.2024 06:45 - 03.01.2024 07:00","28867","27284"
"03.01.2024 07:00 - 03.01.2024 07:15","29739","27872"
"03.01.2024 07:15 - 03.01.2024 07:30","30261","28856"
"03.01.2024 07:30 - 03.01.2024 07:45","30672","29384"
"03.01.2024 07:45 - 03.01.2024 08:00","30984","29812"
"03.01.2024 08:00 - 03.01.2024 08:15","31335","30180"
"03.01.2024 08:15 - 03.01.2024 08:30","31506","30724"
"03.01.2024 08:30 - 03.01.2024 08:45","31629","30936"
"03.01.2024 08:45 - 03.01.2024 09:00","31706","31136"
"03.01.2024 09:00 - 03.01.2024 09:15","31835","31440"
"03.01.2024 09:15 - 03.01.2024 09:30","31810","31500"
"03.01.2024 09:30 - 03.01.2024 09:45","31730","31636"
"03.01.2024 09:45 - 03.01.2024 10:00","31608","31696"
"03.01.2024 10:00 - 03.01.2024 10:15","31479","31716"
"03.01.2024 10:15 - 03.01.2024 10:30","31306","31604"
"03.01.2024 10:30 - 03.01.2024 10:45","31128","31260"
"03.01.2024 10:45 - 03.01.2024 11:00","30964","30840"
"03.01.2024 11:00 - 03.01.2024 11:15","30726","30688"
"03.01.2024 11:15 - 03.01.2024 11:30","30647","30712"
"03.01.2024 11:30 - 03.01.2024 11:45","30633","30568"
"03.01.2024 11:45 - 03.01.2024 12:00","30664","30640"
"03.01.2024 12:00 - 03.01.2024 12:15","30749","30864"
"03.01.2024 12:15 - 03.01.2024 12:30","30788","30968"
"03.01.2024 12:30 - 03.01.2024 12:45","30793","31124"
"03.01.2024 12:45 - 03.01.2024 13:00","30758","31188"
"03.01.2024 13:00 - 03.01.2024 13:15","30757","31180"
"03.01.2024 13:15 - 03.01.2024 13:30","30630","31172"
"03.01.2024 13:30 - 03.01.2024 13:45","30462","31156"
"03.01.2024 13:45 - 03.01.2024 14:00","30296","31040"
"03.01.2024 14:00 - 03.01.2024 14:15","29966","30788"
"03.01.2024 14:15 - 03.01.2024 14:30","29968","30476"
"03.01.2024 14:30 - 03.01.2024 14:45","30112","30376"
"03.01.2024 14:45 - 03.01.2024 15:00","30343","30360"
"03.01.2024 15:00 - 03.01.2024 15:15","30731","30256"
"03.01.2024 15:15 - 03.01.2024 15:30","30904","30184"
"03.01.2024 15:30 - 03.01.2024 15:45","30960","30156"
"03.01.2024 15:45 - 03.01.2024 16:00","30959","30220"
"03.01.2024 16:00 - 03.01.2024 16:15","30740","30240"
"03.01.2024 16:15 - 03.01.2024 16:30","30885","30284"
"03.01.2024 16:30 - 03.01.2024 16:45","31206","30504"
"03.01.2024 16:45 - 03.01.2024 17:00","31641","30680"
"03.01.2024 17:00 - 03.01.2024 17:15","32268","31128"
"03.01.2024 17:15 - 03.01.2024 17:30","32671","31540"
"03.01.2024 17:30 - 03.01.2024 17:45","32945","31852"
"03.01.2024 17:45 - 03.01.2024 18:00","33116","32076"
"03.01.2024 18:00 - 03.01.2024 18:15","33235","32196"
"03.01.2024 18:15 - 03.01.2024 18:30","33343","32336"
"03.01.2024 18:30 - 03.01.2024 18:45","33479","32320"
"03.01.2024 18:45 - 03.01.2024 19:00","33627","32324"
"03.01.2024 19:00 - 03.01.2024 19:15","33877","32520"
"03.01.2024 19:15 - 03.01.2024 19:30","33966","32692"
"03.01.2024 19:30 - 03.01.2024 19:45","33980","32932"
"03.01.2024 19:45 - 03.01.2024 20:00","33885","33000"
"03.01.2024 20:00 - 03.01.2024 20:15","34012","32948"
"03.01.2024 20:15 - 03.01.2024 20:30","33588","32832"
"03.01.2024 20:30 - 03.01.2024 20:45","32963","32696"
"03.01.2024 20:45 - 03.01.2024 21:00","32192","32164"
"03.01.2024 21:00 - 03.01.2024 21:15","31350","31548"
"03.01.2024 21:15 - 03.01.2024 21:30","30503","30644"
"03.01.2024 21:30 - 03.01.2024 21:45","29714","30072"
"03.01.2024 21:45 - 03.01.2024 22:00","28983","29464"
"03.01.2024 22:00 - 03.01.2024 22:15","28266","28828"
"03.01.2024 22:15 - 03.01.2024 22:30","27617","28092"
"03.01.2024 22:30 - 03.01.2024 22:45","26992","27240"
"03.01.2024 22:45 - 03.01.2024 23:00","26392","26600"
"03.01.2024 23:00 - 03.01.2024 23:15","25304","25900"
"03.01.2024 23:15 - 03.01.2024 23:30","24754","25624"
"03.01.2024 23:30 - 03.01.2024 23:45","24224","25008"
"03.01.2024 23:45 - 04.01.2024 00:00","23723","24664"
"04.01.2024 00:00 - 04.01.2024 00:15","23179","24200"
"04.01.2024 00:15 - 04.01.2024 00:30","22767","23544"
"04.01.2024 00:30 - 04.01.2024 00:45","22410","23224"
"04.01.2024 00:45 - 04.01.2024 01:00","22107","22692"
"04.01.2024 01:00 - 04.01.2024 01:15","21775","22360"
"04.01.2024 01:15 - 04.01.2024 01:30","21563","22112"
"04.01.2024 01:30 - 04.01.2024 01:45","21389","21884"
"04.01.2024 01:45 - 04.01.2024 02:00","21249","21628"
"04.01.2024 02:00 - 04.01.2024 02:15","21089","21560"
"04.01.2024 02:15 - 04.01.2024 02:30","21010","21380"
"04.01.2024 02:30 - 04.01.2024 02:45","20957","21336"
"04.01.2024 02:45 - 04.01.2024 03:00","20927","21188"
