"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"02.03.2024 21:30 - 02.03.2024 21:45","27343","27936"
"02.03.2024 21:45 - 02.03.2024 22:00","26774","27452"
"02.03.2024 22:00 - 02.03.2024 22:15","26202","26984"
"02.03.2024 22:15 - 02.03.2024 22:30","25683","26216"
"02.03.2024 22:30 - 02.03.2024 22:45","25188","25904"
"02.03.2024 22:45 - 02.03.2024 23:00","24715","25308"
"02.03.2024 23:00 - 02.03.2024 23:15","24210","24616"
"02.03.2024 23:15 - 02.03.2024 23:30","23724","24260"
"02.03.2024 23:30 - 02.03.2024 23:45","23256","23844"
"02.03.2024 23:45 - 03.03.2024 00:00","22809","23248"
"03.03.2024 00:00 - 03.03.2024 00:15","22341","22868"
"03.03.2024 00:15 - 03.03.2024 00:30","21952","22248"
"03.03.2024 00:30 - 03.03.2024 00:45","21596","21844"
"03.03.2024 00:45 - 03.03.2024 01:00","21276","21564"
"03.03.2024 01:00 - 03.03.2024 01:15","20926","21328"
"03.03.2024 01:15 - 03.03.2024 01:30","20683","20928"
"03.03.2024 01:30 - 03.03.2024 01:45","20478","20820"
"03.03.2024 01:45 - 03.03.2024 02:00","20307","20468"
"03.03.2024 02:00 - 03.03.2024 02:15","20130","20268"
"03.03.2024 02:15 - 03.03.2024 02:30","20002","20184"
"03.03.2024 02:30 - 03.03.2024 02:45","19887","20100"
"03.03.2024 02:45 - 03.03.2024 03:00","19787","19936"
"03.03.2024 03:00 - 03.03.2024 03:15","19657","19764"
"03.03.2024 03:15 - 03.03.2024 03:30","19600","19812"
"03.03.2024 03:30 - 03.03.2024 03:45","19572","19764"
"03.03.2024 03:45 - 03.03.2024 04:00","19572","19652"
"03.03.2024 04:00 - 03.03.2024 04:15","19544","19636"
"03.03.2024 04:15 - 03.03.2024 04:30","19602","19752"
"03.03.2024 04:30 - 03.03.2024 04:45","19688","19572"
"03.03.2024 04:45 - 03.03.2024 05:00","19799","19744"
"03.03.2024 05:00 - 03.03.2024 05:15","19907","19768"
"03.03.2024 05:15 - 03.03.2024 05:30","20050","19912"
"03.03.2024 05:30 - 03.03.2024 05:45","20202","19992"
"03.03.2024 05:45 - 03.03.2024 06:00","20357","20196"
"03.03.2024 06:00 - 03.03.2024 06:15","20525","20284"
"03.03.2024 06:15 - 03.03.2024 06:30","20666","20580"
"03.03.2024 06:30 - 03.03.2024 06:45","20795","20728"
"03.03.2024 06:45 - 03.03.2024 07:00","20933","20856"
"03.03.2024 07:00 - 03.03.2024 07:15","20985","20848"
"03.03.2024 07:15 - 03.03.2024 07:30","21216","20920"
"03.03.2024 07:30 - 03.03.2024 07:45","21523","21356"
"03.03.2024 07:45 - 03.03.2024 08:00","21889","21768"
"03.03.2024 08:00 - 03.03.2024 08:15","22307","21980"
"03.03.2024 08:15 - 03.03.2024 08:30","22712","22160"
"03.03.2024 08:30 - 03.03.2024 08:45","23099","22600"
"03.03.2024 08:45 - 03.03.2024 09:00","23454","23032"
"03.03.2024 09:00 - 03.03.2024 09:15","23891","23560"
"03.03.2024 09:15 - 03.03.2024 09:30","24146","23820"
"03.03.2024 09:30 - 03.03.2024 09:45","24336","24120"
"03.03.2024 09:45 - 03.03.2024 10:00","24466","24108"
"03.03.2024 10:00 - 03.03.2024 10:15","24611","24180"
"03.03.2024 10:15 - 03.03.2024 10:30","24657","23984"
"03.03.2024 10:30 - 03.03.2024 10:45","24678","24056"
"03.03.2024 10:45 - 03.03.2024 11:00","24693","24072"
"03.03.2024 11:00 - 03.03.2024 11:15","24649","23820"
"03.03.2024 11:15 - 03.03.2024 11:30","24712","23768"
"03.03.2024 11:30 - 03.03.2024 11:45","24823","23804"
"03.03.2024 11:45 - 03.03.2024 12:00","24969","23888"
"03.03.2024 12:00 - 03.03.2024 12:15","25160","24008"
"03.03.2024 12:15 - 03.03.2024 12:30","25318","24224"
"03.03.2024 12:30 - 03.03.2024 12:45","25453","24460"
"03.03.2024 12:45 - 03.03.2024 13:00","25537","24744"
"03.03.2024 13:00 - 03.03.2024 13:15","25752","24972"
"03.03.2024 13:15 - 03.03.2024 13:30","25652","24900"
"03.03.2024 13:30 - 03.03.2024 13:45","25434","24960"
"03.03.2024 13:45 - 03.03.2024 14:00","25138","24572"
"03.03.2024 14:00 - 03.03.2024 14:15","24727","24208"
"03.03.2024 14:15 - 03.03.2024 14:30","24450","23816"
"03.03.2024 14:30 - 03.03.2024 14:45","24254","23684"
"03.03.2024 14:45 - 03.03.2024 15:00","24139","23460"
"03.03.2024 15:00 - 03.03.2024 15:15","23988","23312"
"03.03.2024 15:15 - 03.03.2024 15:30","23996","23492"
"03.03.2024 15:30 - 03.03.2024 15:45","24048","23276"
"03.03.2024 15:45 - 03.03.2024 16:00","24143","23152"
"03.03.2024 16:00 - 03.03.2024 16:15","24186","23324"
"03.03.2024 16:15 - 03.03.2024 16:30","24370","23768"
"03.03.2024 16:30 - 03.03.2024 16:45","24604","23664"
"03.03.2024 16:45 - 03.03.2024 17:00","24902","23972"
"03.03.2024 17:00 - 03.03.2024 17:15","25106","24420"
"03.03.2024 17:15 - 03.03.2024 17:30","25581","24980"
"03.03.2024 17:30 - 03.03.2024 17:45","26161","25376"
"03.03.2024 17:45 - 03.03.2024 18:00","26806","25804"
"03.03.2024 18:00 - 03.03.2024 18:15","27592","26576"
"03.03.2024 18:15 - 03.03.2024 18:30","28228","27492"
"03.03.2024 18:30 - 03.03.2024 18:45","28792","28460"
"03.03.2024 18:45 - 03.03.2024 19:00","29264","29252"
"03.03.2024 19:00 - 03.03.2024 19:15","29883","29616"
"03.03.2024 19:15 - 03.03.2024 19:30","30139","30252"
"03.03.2024 19:30 - 03.03.2024 19:45","30270","30592"
"03.03.2024 19:45 - 03.03.2024 20:00","30276","30884"
"03.03.2024 20:00 - 03.03.2024 20:15","30393","31004"
"03.03.2024 20:15 - 03.03.2024 20:30","30156","31016"
"03.03.2024 20:30 - 03.03.2024 20:45","29805","30800"
"03.03.2024 20:45 - 03.03.2024 21:00","29357","30308"
"03.03.2024 21:00 - 03.03.2024 21:15","28946","29836"
"03.03.2024 21:15 - 03.03.2024 21:30","28358","29260"
"03.03.2024 21:30 - 03.03.2024 21:45","27732","28704"
"03.03.2024 21:45 - 03.03.2024 22:00","27089","28228"
"03.03.2024 22:00 - 03.03.2024 22:15","26415","27524"
"03.03.2024 22:15 - 03.03.2024 22:30","25804","26744"
"03.03.2024 22:30 - 03.03.2024 22:45","25237","26140"
"03.03.2024 22:45 - 03.03.2024 23:00","24709","25444"
"03.03.2024 23:00 - 03.03.2024 23:15","24262","24840"
"03.03.2024 23:15 - 03.03.2024 23:30","23762","24436"
"03.03.2024 23:30 - 03.03.2024 23:45","23302","23916"
"03.03.2024 23:45 - 04.03.2024 00:00","22884","23560"
"04.03.2024 00:00 - 04.03.2024 00:15","22432","23092"
"04.03.2024 00:15 - 04.03.2024 00:30","22101","22492"
"04.03.2024 00:30 - 04.03.2024 00:45","21813","22348"
"04.03.2024 00:45 - 04.03.2024 01:00","21569","22004"
"04.03.2024 01:00 - 04.03.2024 01:15","21294","21668"
"04.03.2024 01:15 - 04.03.2024 01:30","21129","21512"
"04.03.2024 01:30 - 04.03.2024 01:45","21000","21408"
"04.03.2024 01:45 - 04.03.2024 02:00","20903","21228"
"04.03.2024 02:00 - 04.03.2024 02:15","20786","21024"
"04.03.2024 02:15 - 04.03.2024 02:30","20745","20972"
"04.03.2024 02:30 - 04.03.2024 02:45","20728","21036"
"04.03.2024 02:45 - 04.03.2024 03:00","20734","20780"
"04.03.2024 03:00 - 04.03.2024 03:15","20699","20812"
"04.03.2024 03:15 - 04.03.2024 03:30","20753","21056"
"04.03.2024 03:30 - 04.03.2024 03:45","20839","20928"
"04.03.2024 03:45 - 04.03.2024 04:00","20991","21060"
"04.03.2024 04:00 - 04.03.2024 04:15","20953","21404"
"04.03.2024 04:15 - 04.03.2024 04:30","21354","21524"
"04.03.2024 04:30 - 04.03.2024 04:45","21929","21700"
"04.03.2024 04:45 - 04.03.2024 05:00","22669","22124"
"04.03.2024 05:00 - 04.03.2024 05:15","23412","22548"
"04.03.2024 05:15 - 04.03.2024 05:30","24408","23988"
"04.03.2024 05:30 - 04.03.2024 05:45","25495","24896"
"04.03.2024 05:45 - 04.03.2024 06:00","26612","25948"
"04.03.2024 06:00 - 04.03.2024 06:15","28029","26912"
"04.03.2024 06:15 - 04.03.2024 06:30","29009","28556"
"04.03.2024 06:30 - 04.03.2024 06:45","29821","29692"
"04.03.2024 06:45 - 04.03.2024 07:00","30462","30500"
"04.03.2024 07:00 - 04.03.2024 07:15","31258","30872"
"04.03.2024 07:15 - 04.03.2024 07:30","31579","31576"
"04.03.2024 07:30 - 04.03.2024 07:45","31753","32016"
"04.03.2024 07:45 - 04.03.2024 08:00","31813","31924"
"04.03.2024 08:00 - 04.03.2024 08:15","31857","32056"
"04.03.2024 08:15 - 04.03.2024 08:30","31802","31976"
"04.03.2024 08:30 - 04.03.2024 08:45","31736","32140"
"04.03.2024 08:45 - 04.03.2024 09:00","31658","32240"
"04.03.2024 09:00 - 04.03.2024 09:15","31621","32192"
"04.03.2024 09:15 - 04.03.2024 09:30","31488","31932"
"04.03.2024 09:30 - 04.03.2024 09:45","31318","31772"
"04.03.2024 09:45 - 04.03.2024 10:00","31123","31932"
"04.03.2024 10:00 - 04.03.2024 10:15","30885","32032"
"04.03.2024 10:15 - 04.03.2024 10:30","30700","31564"
"04.03.2024 10:30 - 04.03.2024 10:45","30546","31464"
"04.03.2024 10:45 - 04.03.2024 11:00","30432","31328"
"04.03.2024 11:00 - 04.03.2024 11:15","30272","31264"
"04.03.2024 11:15 - 04.03.2024 11:30","30256","31248"
"04.03.2024 11:30 - 04.03.2024 11:45","30292","31352"
"04.03.2024 11:45 - 04.03.2024 12:00","30344","31276"
"04.03.2024 12:00 - 04.03.2024 12:15","30512","31428"
"04.03.2024 12:15 - 04.03.2024 12:30","30470","31472"
"04.03.2024 12:30 - 04.03.2024 12:45","30334","31388"
"04.03.2024 12:45 - 04.03.2024 13:00","30138","31356"
"04.03.2024 13:00 - 04.03.2024 13:15","29838","31216"
"04.03.2024 13:15 - 04.03.2024 13:30","29670","30972"
"04.03.2024 13:30 - 04.03.2024 13:45","29578","31196"
"04.03.2024 13:45 - 04.03.2024 14:00","29545","31360"
"04.03.2024 14:00 - 04.03.2024 14:15","29542","31372"
"04.03.2024 14:15 - 04.03.2024 14:30","29548","31244"
"04.03.2024 14:30 - 04.03.2024 14:45","29540","30952"
"04.03.2024 14:45 - 04.03.2024 15:00","29531","31004"
"04.03.2024 15:00 - 04.03.2024 15:15","29456","30900"
"04.03.2024 15:15 - 04.03.2024 15:30","29511","30808"
"04.03.2024 15:30 - 04.03.2024 15:45","29622","30616"
"04.03.2024 15:45 - 04.03.2024 16:00","29775","30692"
"04.03.2024 16:00 - 04.03.2024 16:15","29947","30720"
"04.03.2024 16:15 - 04.03.2024 16:30","30116","30772"
"04.03.2024 16:30 - 04.03.2024 16:45","30272","30896"
"04.03.2024 16:45 - 04.03.2024 17:00","30456","30952"
"04.03.2024 17:00 - 04.03.2024 17:15","30458","30940"
"04.03.2024 17:15 - 04.03.2024 17:30","30856","30924"
"04.03.2024 17:30 - 04.03.2024 17:45","31421","30972"
"04.03.2024 17:45 - 04.03.2024 18:00","32099","31164"
"04.03.2024 18:00 - 04.03.2024 18:15","32959","31872"
"04.03.2024 18:15 - 04.03.2024 18:30","33643","32568"
"04.03.2024 18:30 - 04.03.2024 18:45","34226","33284"
"04.03.2024 18:45 - 04.03.2024 19:00","34683","34088"
"04.03.2024 19:00 - 04.03.2024 19:15","35335","34620"
"04.03.2024 19:15 - 04.03.2024 19:30","35498","35064"
"04.03.2024 19:30 - 04.03.2024 19:45","35490","35144"
"04.03.2024 19:45 - 04.03.2024 20:00","35302","35460"
"04.03.2024 20:00 - 04.03.2024 20:15","35313","35328"
"04.03.2024 20:15 - 04.03.2024 20:30","34734","35148"
"04.03.2024 20:30 - 04.03.2024 20:45","33959","35020"
"04.03.2024 20:45 - 04.03.2024 21:00","33046","34076"
"04.03.2024 21:00 - 04.03.2024 21:15","32072","33040"
"04.03.2024 21:15 - 04.03.2024 21:30","31090","32000"
"04.03.2024 21:30 - 04.03.2024 21:45","30167","31552"
"04.03.2024 21:45 - 04.03.2024 22:00","29320","30668"
"04.03.2024 22:00 - 04.03.2024 22:15","28420","29796"
"04.03.2024 22:15 - 04.03.2024 22:30","27748","28840"
"04.03.2024 22:30 - 04.03.2024 22:45","27164","28128"
"04.03.2024 22:45 - 04.03.2024 23:00","26651","27220"
"04.03.2024 23:00 - 04.03.2024 23:15","26504","26680"
"04.03.2024 23:15 - 04.03.2024 23:30","26019","26376"
"04.03.2024 23:30 - 04.03.2024 23:45","25544","25992"
"04.03.2024 23:45 - 05.03.2024 00:00","25093","25428"
"05.03.2024 00:00 - 05.03.2024 00:15","24590","24860"
"05.03.2024 00:15 - 05.03.2024 00:30","24222","24484"
"05.03.2024 00:30 - 05.03.2024 00:45","23911","24116"
"05.03.2024 00:45 - 05.03.2024 01:00","23650","23752"
"05.03.2024 01:00 - 05.03.2024 01:15","23370","23432"
"05.03.2024 01:15 - 05.03.2024 01:30","23191","23196"
"05.03.2024 01:30 - 05.03.2024 01:45","23042","23052"
"05.03.2024 01:45 - 05.03.2024 02:00","22922","22880"
"05.03.2024 02:00 - 05.03.2024 02:15","22775","22868"
"05.03.2024 02:15 - 05.03.2024 02:30","22713","22844"
"05.03.2024 02:30 - 05.03.2024 02:45","22678","22624"
"05.03.2024 02:45 - 05.03.2024 03:00","22668","22692"
"05.03.2024 03:00 - 05.03.2024 03:15","22631","22564"
"05.03.2024 03:15 - 05.03.2024 03:30","22660","22492"
"05.03.2024 03:30 - 05.03.2024 03:45","22711","22636"
"05.03.2024 03:45 - 05.03.2024 04:00","22816","22656"
"05.03.2024 04:00 - 05.03.2024 04:15","22737","22564"
"05.03.2024 04:15 - 05.03.2024 04:30","23069","22952"
"05.03.2024 04:30 - 05.03.2024 04:45","23566","23152"
"05.03.2024 04:45 - 05.03.2024 05:00","24224","23384"
"05.03.2024 05:00 - 05.03.2024 05:15","24850","23816"
"05.03.2024 05:15 - 05.03.2024 05:30","25785","24984"
"05.03.2024 05:30 - 05.03.2024 05:45","26829","25956"
"05.03.2024 05:45 - 05.03.2024 06:00","27910","26736"
"05.03.2024 06:00 - 05.03.2024 06:15","29321","27864"
"05.03.2024 06:15 - 05.03.2024 06:30","30238","29276"
"05.03.2024 06:30 - 05.03.2024 06:45","30955","30440"
"05.03.2024 06:45 - 05.03.2024 07:00","31474","31056"
"05.03.2024 07:00 - 05.03.2024 07:15","32123","31416"
"05.03.2024 07:15 - 05.03.2024 07:30","32311","31772"
"05.03.2024 07:30 - 05.03.2024 07:45","32363","32208"
"05.03.2024 07:45 - 05.03.2024 08:00","32315","32144"
"05.03.2024 08:00 - 05.03.2024 08:15","32237","31912"
"05.03.2024 08:15 - 05.03.2024 08:30","32099","31276"
"05.03.2024 08:30 - 05.03.2024 08:45","31965","31276"
"05.03.2024 08:45 - 05.03.2024 09:00","31832","31180"
"05.03.2024 09:00 - 05.03.2024 09:15","31729","31104"
"05.03.2024 09:15 - 05.03.2024 09:30","31566","30452"
"05.03.2024 09:30 - 05.03.2024 09:45","31377","30148"
"05.03.2024 09:45 - 05.03.2024 10:00","31174","29924"
"05.03.2024 10:00 - 05.03.2024 10:15","30931","29668"
"05.03.2024 10:15 - 05.03.2024 10:30","30745","29412"
"05.03.2024 10:30 - 05.03.2024 10:45","30589","29156"
"05.03.2024 10:45 - 05.03.2024 11:00","30469","29072"
"05.03.2024 11:00 - 05.03.2024 11:15","30305","28928"
"05.03.2024 11:15 - 05.03.2024 11:30","30273","28744"
"05.03.2024 11:30 - 05.03.2024 11:45","30288","28712"
"05.03.2024 11:45 - 05.03.2024 12:00","30327","28616"
"05.03.2024 12:00 - 05.03.2024 12:15","30433","28876"
"05.03.2024 12:15 - 05.03.2024 12:30","30436","28528"
"05.03.2024 12:30 - 05.03.2024 12:45","30388","28288"
"05.03.2024 12:45 - 05.03.2024 13:00","30302","28092"
"05.03.2024 13:00 - 05.03.2024 13:15","30180","28120"
"05.03.2024 13:15 - 05.03.2024 13:30","30087","28080"
"05.03.2024 13:30 - 05.03.2024 13:45","30017","27892"
"05.03.2024 13:45 - 05.03.2024 14:00","29967","27856"
"05.03.2024 14:00 - 05.03.2024 14:15","29924","27652"
"05.03.2024 14:15 - 05.03.2024 14:30","29885","27484"
"05.03.2024 14:30 - 05.03.2024 14:45","29840","27504"
"05.03.2024 14:45 - 05.03.2024 15:00","29804","27468"
"05.03.2024 15:00 - 05.03.2024 15:15","29707","27428"
"05.03.2024 15:15 - 05.03.2024 15:30","29744","27400"
"05.03.2024 15:30 - 05.03.2024 15:45","29835","27348"
"05.03.2024 15:45 - 05.03.2024 16:00","29959","27720"
"05.03.2024 16:00 - 05.03.2024 16:15","30133","27972"
"05.03.2024 16:15 - 05.03.2024 16:30","30229","28396"
"05.03.2024 16:30 - 05.03.2024 16:45","30281","28592"
"05.03.2024 16:45 - 05.03.2024 17:00","30347","28868"
"05.03.2024 17:00 - 05.03.2024 17:15","30173","29100"
"05.03.2024 17:15 - 05.03.2024 17:30","30489","29388"
"05.03.2024 17:30 - 05.03.2024 17:45","31015","29632"
"05.03.2024 17:45 - 05.03.2024 18:00","31692","29988"
"05.03.2024 18:00 - 05.03.2024 18:15","32555","30492"
"05.03.2024 18:15 - 05.03.2024 18:30","33281","31284"
"05.03.2024 18:30 - 05.03.2024 18:45","33911","32392"
"05.03.2024 18:45 - 05.03.2024 19:00","34417","33184"
"05.03.2024 19:00 - 05.03.2024 19:15","35130","33680"
"05.03.2024 19:15 - 05.03.2024 19:30","35333","34000"
"05.03.2024 19:30 - 05.03.2024 19:45","35356","34444"
"05.03.2024 19:45 - 05.03.2024 20:00","35198","34728"
"05.03.2024 20:00 - 05.03.2024 20:15","35211","34956"
"05.03.2024 20:15 - 05.03.2024 20:30","34686","34844"
"05.03.2024 20:30 - 05.03.2024 20:45","33989","34540"
"05.03.2024 20:45 - 05.03.2024 21:00","33162","33820"
"05.03.2024 21:00 - 05.03.2024 21:15","32313","32912"
"05.03.2024 21:15 - 05.03.2024 21:30","31383","31808"
"05.03.2024 21:30 - 05.03.2024 21:45","30476","31192"
"05.03.2024 21:45 - 05.03.2024 22:00","29620","30476"
"05.03.2024 22:00 - 05.03.2024 22:15","28681","29628"
"05.03.2024 22:15 - 05.03.2024 22:30","27999","28936"
"05.03.2024 22:30 - 05.03.2024 22:45","27427","28252"
"05.03.2024 22:45 - 05.03.2024 23:00","26940","27472"
"05.03.2024 23:00 - 05.03.2024 23:15","26470","26644"
"05.03.2024 23:15 - 05.03.2024 23:30","25995","26424"
"05.03.2024 23:30 - 05.03.2024 23:45","25536","26068"
"05.03.2024 23:45 - 06.03.2024 00:00","25101","25740"
"06.03.2024 00:00 - 06.03.2024 00:15","24628","25072"
"06.03.2024 00:15 - 06.03.2024 00:30","24263","24852"
"06.03.2024 00:30 - 06.03.2024 00:45","23943","24496"
"06.03.2024 00:45 - 06.03.2024 01:00","23668","24272"
"06.03.2024 01:00 - 06.03.2024 01:15","23355","23864"
"06.03.2024 01:15 - 06.03.2024 01:30","23173","23640"
"06.03.2024 01:30 - 06.03.2024 01:45","23035","23396"
"06.03.2024 01:45 - 06.03.2024 02:00","22935","23336"
"06.03.2024 02:00 - 06.03.2024 02:15","22826","23160"
"06.03.2024 02:15 - 06.03.2024 02:30","22776","23084"
"06.03.2024 02:30 - 06.03.2024 02:45","22742","22952"
"06.03.2024 02:45 - 06.03.2024 03:00","22722","22864"
"06.03.2024 03:00 - 06.03.2024 03:15","22667","22824"
"06.03.2024 03:15 - 06.03.2024 03:30","22683","22940"
"06.03.2024 03:30 - 06.03.2024 03:45","22725","22924"
"06.03.2024 03:45 - 06.03.2024 04:00","22826","22928"
"06.03.2024 04:00 - 06.03.2024 04:15","22740","23100"
"06.03.2024 04:15 - 06.03.2024 04:30","23078","23356"
"06.03.2024 04:30 - 06.03.2024 04:45","23585","23524"
"06.03.2024 04:45 - 06.03.2024 05:00","24255","23688"
"06.03.2024 05:00 - 06.03.2024 05:15","24901","24216"
"06.03.2024 05:15 - 06.03.2024 05:30","25845","25380"
"06.03.2024 05:30 - 06.03.2024 05:45","26895","26312"
"06.03.2024 05:45 - 06.03.2024 06:00","27974","27064"
"06.03.2024 06:00 - 06.03.2024 06:15","29399","28040"
"06.03.2024 06:15 - 06.03.2024 06:30","30287","29668"
"06.03.2024 06:30 - 06.03.2024 06:45","30959","30656"
"06.03.2024 06:45 - 06.03.2024 07:00","31422","31260"
"06.03.2024 07:00 - 06.03.2024 07:15","31994","31616"
"06.03.2024 07:15 - 06.03.2024 07:30","32129","32064"
"06.03.2024 07:30 - 06.03.2024 07:45","32142","32428"
"06.03.2024 07:45 - 06.03.2024 08:00","32061","32344"
"06.03.2024 08:00 - 06.03.2024 08:15","31967","32032"
"06.03.2024 08:15 - 06.03.2024 08:30","31792","31732"
"06.03.2024 08:30 - 06.03.2024 08:45","31609","31740"
"06.03.2024 08:45 - 06.03.2024 09:00","31418","31480"
"06.03.2024 09:00 - 06.03.2024 09:15","31255","31416"
"06.03.2024 09:15 - 06.03.2024 09:30","31025","31032"
"06.03.2024 09:30 - 06.03.2024 09:45","30770","30780"
"06.03.2024 09:45 - 06.03.2024 10:00","30506","30436"
"06.03.2024 10:00 - 06.03.2024 10:15","30181","30348"
"06.03.2024 10:15 - 06.03.2024 10:30","29965","29920"
"06.03.2024 10:30 - 06.03.2024 10:45","29799","29548"
"06.03.2024 10:45 - 06.03.2024 11:00","29680","29312"
"06.03.2024 11:00 - 06.03.2024 11:15","29549","29132"
"06.03.2024 11:15 - 06.03.2024 11:30","29502","28968"
"06.03.2024 11:30 - 06.03.2024 11:45","29477","28752"
"06.03.2024 11:45 - 06.03.2024 12:00","29455","28776"
"06.03.2024 12:00 - 06.03.2024 12:15","29494","28676"
"06.03.2024 12:15 - 06.03.2024 12:30","29420","28648"
"06.03.2024 12:30 - 06.03.2024 12:45","29296","28800"
"06.03.2024 12:45 - 06.03.2024 13:00","29141","28676"
"06.03.2024 13:00 - 06.03.2024 13:15","28934","28520"
"06.03.2024 13:15 - 06.03.2024 13:30","28791","28220"
"06.03.2024 13:30 - 06.03.2024 13:45","28686","28444"
"06.03.2024 13:45 - 06.03.2024 14:00","28611","28340"
"06.03.2024 14:00 - 06.03.2024 14:15","28544","28144"
"06.03.2024 14:15 - 06.03.2024 14:30","28490","27976"
"06.03.2024 14:30 - 06.03.2024 14:45","28434","27940"
"06.03.2024 14:45 - 06.03.2024 15:00","28393","27996"
"06.03.2024 15:00 - 06.03.2024 15:15","28260","27976"
"06.03.2024 15:15 - 06.03.2024 15:30","28328","28192"
"06.03.2024 15:30 - 06.03.2024 15:45","28479","28328"
"06.03.2024 15:45 - 06.03.2024 16:00","28688","28508"
"06.03.2024 16:00 - 06.03.2024 16:15","28944","28720"
"06.03.2024 16:15 - 06.03.2024 16:30","29162","29016"
"06.03.2024 16:30 - 06.03.2024 16:45","29347","29296"
"06.03.2024 16:45 - 06.03.2024 17:00","29544","29580"
"06.03.2024 17:00 - 06.03.2024 17:15","29553","29736"
"06.03.2024 17:15 - 06.03.2024 17:30","29947","29916"
"06.03.2024 17:30 - 06.03.2024 17:45","30509","30080"
"06.03.2024 17:45 - 06.03.2024 18:00","31191","30432"
"06.03.2024 18:00 - 06.03.2024 18:15","32032","31040"
"06.03.2024 18:15 - 06.03.2024 18:30","32753","31740"
"06.03.2024 18:30 - 06.03.2024 18:45","33397","32600"
"06.03.2024 18:45 - 06.03.2024 19:00","33932","33212"
"06.03.2024 19:00 - 06.03.2024 19:15","34681","33776"
"06.03.2024 19:15 - 06.03.2024 19:30","34927","34188"
"06.03.2024 19:30 - 06.03.2024 19:45","34992","34520"
"06.03.2024 19:45 - 06.03.2024 20:00","34872","34688"
"06.03.2024 20:00 - 06.03.2024 20:15","34929","34700"
"06.03.2024 20:15 - 06.03.2024 20:30","34435","34644"
"06.03.2024 20:30 - 06.03.2024 20:45","33765","34396"
"06.03.2024 20:45 - 06.03.2024 21:00","32960","33776"
"06.03.2024 21:00 - 06.03.2024 21:15","32135","32884"
"06.03.2024 21:15 - 06.03.2024 21:30","31217","32000"
"06.03.2024 21:30 - 06.03.2024 21:45","30315","31164"
"06.03.2024 21:45 - 06.03.2024 22:00","29461","30328"
"06.03.2024 22:00 - 06.03.2024 22:15","28522","29684"
"06.03.2024 22:15 - 06.03.2024 22:30","27839","28684"
"06.03.2024 22:30 - 06.03.2024 22:45","27265","28124"
"06.03.2024 22:45 - 06.03.2024 23:00","26776","27420"
"06.03.2024 23:00 - 06.03.2024 23:15","26505","26564"
"06.03.2024 23:15 - 06.03.2024 23:30","26048","26128"
"06.03.2024 23:30 - 06.03.2024 23:45","25606","26096"
"06.03.2024 23:45 - 07.03.2024 00:00","25187","25476"
"07.03.2024 00:00 - 07.03.2024 00:15","24734","24980"
"07.03.2024 00:15 - 07.03.2024 00:30","24381","24620"
"07.03.2024 00:30 - 07.03.2024 00:45","24069","24272"
"07.03.2024 00:45 - 07.03.2024 01:00","23799","23948"
"07.03.2024 01:00 - 07.03.2024 01:15","23497","23552"
"07.03.2024 01:15 - 07.03.2024 01:30","23307","23268"
"07.03.2024 01:30 - 07.03.2024 01:45","23155","23136"
"07.03.2024 01:45 - 07.03.2024 02:00","23038","22856"
"07.03.2024 02:00 - 07.03.2024 02:15","22902","22712"
"07.03.2024 02:15 - 07.03.2024 02:30","22843","22796"
"07.03.2024 02:30 - 07.03.2024 02:45","22807","22580"
"07.03.2024 02:45 - 07.03.2024 03:00","22791","22568"
"07.03.2024 03:00 - 07.03.2024 03:15","22747","22536"
"07.03.2024 03:15 - 07.03.2024 03:30","22768","22512"
"07.03.2024 03:30 - 07.03.2024 03:45","22812","22272"
"07.03.2024 03:45 - 07.03.2024 04:00","22912","22380"
"07.03.2024 04:00 - 07.03.2024 04:15","22825","22596"
"07.03.2024 04:15 - 07.03.2024 04:30","23155","22908"
"07.03.2024 04:30 - 07.03.2024 04:45","23652","23120"
"07.03.2024 04:45 - 07.03.2024 05:00","24310","23372"
"07.03.2024 05:00 - 07.03.2024 05:15","24944","23816"
"07.03.2024 05:15 - 07.03.2024 05:30","25872","25036"
"07.03.2024 05:30 - 07.03.2024 05:45","26902","25840"
"07.03.2024 05:45 - 07.03.2024 06:00","27958","26696"
"07.03.2024 06:00 - 07.03.2024 06:15","29361","27600"
"07.03.2024 06:15 - 07.03.2024 06:30","30216","29072"
"07.03.2024 06:30 - 07.03.2024 06:45","30849","30192"
"07.03.2024 06:45 - 07.03.2024 07:00","31274","30748"
"07.03.2024 07:00 - 07.03.2024 07:15","31787","31124"
"07.03.2024 07:15 - 07.03.2024 07:30","31904","31520"
"07.03.2024 07:30 - 07.03.2024 07:45","31916","31912"
"07.03.2024 07:45 - 07.03.2024 08:00","31845","31924"
"07.03.2024 08:00 - 07.03.2024 08:15","31780","31640"
"07.03.2024 08:15 - 07.03.2024 08:30","31605","31376"
"07.03.2024 08:30 - 07.03.2024 08:45","31406","31284"
"07.03.2024 08:45 - 07.03.2024 09:00","31195","31180"
"07.03.2024 09:00 - 07.03.2024 09:15","30968","31092"
"07.03.2024 09:15 - 07.03.2024 09:30","30756","30724"
"07.03.2024 09:30 - 07.03.2024 09:45","30554","30604"
"07.03.2024 09:45 - 07.03.2024 10:00","30366","30384"
"07.03.2024 10:00 - 07.03.2024 10:15","30154","30316"
